State,Sum of MISSING from Questionarre 
Alabama,5
Alaska,10
Arizona,4
Arkansas,7
California,7
Colorado,5
Connecticut,6
Delaware,2
Florida,4
Georgia,6
Hawaii,7
Idaho,4
Illinois,5
Indiana,0
Iowa,6
Kansas,9
Kentucky,3
Louisiana,3
Maine,6
Maryland,2
Massachusetts,9
Michigan,4
Minnesota,4
Mississippi,4
Missouri,6
Montana,8
Nebraska,9
Nevada,5
New Hampshire,4
New Jersey,2
New Mexico,3
New York,6
North Carolina,4
North Dakota,9
Ohio,1
Oklahoma,3
Oregon,7
Pennsylvania,2
Rhode Island,3
South Carolina,5
South Dakota,7
Tennessee,2
Texas,5
Utah,2
Vermont,2
Virginia,4
Washington,3
West Virginia,4
Wisconsin,1
Wyoming,8
