Notes	County	County Code	Year	Year Code	Drug/Alcohol Induced Cause	Drug/Alcohol Induced Cause Code	Deaths
	Autauga County, AL	1001	2004.0	2004.0	All other non-drug and non-alcohol causes	O9	373.0
	Baldwin County, AL	1003	2004.0	2004.0	Drug poisonings (overdose) Unintentional (X40-X44)	D1	18.0
	Baldwin County, AL	1003	2004.0	2004.0	All other alcohol-induced causes	A9	10.0
	Baldwin County, AL	1003	2004.0	2004.0	All other non-drug and non-alcohol causes	O9	1518.0
	Barbour County, AL	1005	2004.0	2004.0	All other non-drug and non-alcohol causes	O9	274.0
	Bibb County, AL	1007	2004.0	2004.0	All other non-drug and non-alcohol causes	O9	219.0
	Blount County, AL	1009	2004.0	2004.0	All other non-drug and non-alcohol causes	O9	527.0
	Bullock County, AL	1011	2004.0	2004.0	All other non-drug and non-alcohol causes	O9	133.0
	Butler County, AL	1013	2004.0	2004.0	All other non-drug and non-alcohol causes	O9	286.0
	Calhoun County, AL	1015	2004.0	2004.0	All other non-drug and non-alcohol causes	O9	1275.0
	Chambers County, AL	1017	2004.0	2004.0	All other non-drug and non-alcohol causes	O9	437.0
	Cherokee County, AL	1019	2004.0	2004.0	All other non-drug and non-alcohol causes	O9	261.0
	Chilton County, AL	1021	2004.0	2004.0	All other non-drug and non-alcohol causes	O9	478.0
	Choctaw County, AL	1023	2004.0	2004.0	All other non-drug and non-alcohol causes	O9	171.0
	Clarke County, AL	1025	2004.0	2004.0	All other non-drug and non-alcohol causes	O9	277.0
	Clay County, AL	1027	2004.0	2004.0	All other non-drug and non-alcohol causes	O9	183.0
	Cleburne County, AL	1029	2004.0	2004.0	All other non-drug and non-alcohol causes	O9	171.0
	Coffee County, AL	1031	2004.0	2004.0	All other non-drug and non-alcohol causes	O9	473.0
	Colbert County, AL	1033	2004.0	2004.0	All other non-drug and non-alcohol causes	O9	589.0
	Conecuh County, AL	1035	2004.0	2004.0	All other non-drug and non-alcohol causes	O9	177.0
	Coosa County, AL	1037	2004.0	2004.0	All other non-drug and non-alcohol causes	O9	144.0
	Covington County, AL	1039	2004.0	2004.0	All other non-drug and non-alcohol causes	O9	486.0
	Crenshaw County, AL	1041	2004.0	2004.0	All other non-drug and non-alcohol causes	O9	163.0
	Cullman County, AL	1043	2004.0	2004.0	All other non-drug and non-alcohol causes	O9	857.0
	Dale County, AL	1045	2004.0	2004.0	All other non-drug and non-alcohol causes	O9	426.0
	Dallas County, AL	1047	2004.0	2004.0	All other non-drug and non-alcohol causes	O9	567.0
