"Notes"	"State"	"State Code"	"County"	"County Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	26	438752	5.9259
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	75	1514365	4.9526
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	128	1514365	8.4524
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	19	1514365	Unreliable
	"Alabama"	"01"	"Bibb County, AL"	"01007"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	20	181525	11.0178
	"Alabama"	"01"	"Blount County, AL"	"01009"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	21	460485	4.5604
	"Alabama"	"01"	"Blount County, AL"	"01009"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	62	460485	13.4641
	"Alabama"	"01"	"Butler County, AL"	"01013"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	11	164435	Unreliable
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	104	937574	11.0925
	"Alabama"	"01"	"Chambers County, AL"	"01017"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	19	273526	Unreliable
	"Alabama"	"01"	"Cherokee County, AL"	"01019"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	16	207656	Unreliable
	"Alabama"	"01"	"Chilton County, AL"	"01021"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	41	349905	11.7175
	"Alabama"	"01"	"Cleburne County, AL"	"01029"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	16	119523	Unreliable
	"Alabama"	"01"	"Coffee County, AL"	"01031"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	16	402740	Unreliable
	"Alabama"	"01"	"Colbert County, AL"	"01033"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	14	435702	Unreliable
	"Alabama"	"01"	"Covington County, AL"	"01039"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	11	302606	Unreliable
	"Alabama"	"01"	"Cullman County, AL"	"01043"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	80	646111	12.3818
	"Alabama"	"01"	"Dale County, AL"	"01045"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	25	399397	6.2594
	"Alabama"	"01"	"Dallas County, AL"	"01047"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	14	342878	Unreliable
	"Alabama"	"01"	"DeKalb County, AL"	"01049"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	12	567864	Unreliable
	"Alabama"	"01"	"DeKalb County, AL"	"01049"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	68	567864	11.9747
	"Alabama"	"01"	"DeKalb County, AL"	"01049"	"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent"	"Y14"	16	567864	Unreliable
	"Alabama"	"01"	"Elmore County, AL"	"01051"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	33	639771	5.1581
	"Alabama"	"01"	"Escambia County, AL"	"01053"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	15	304091	Unreliable
	"Alabama"	"01"	"Escambia County, AL"	"01053"	"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent"	"Y12"	16	304091	Unreliable
	"Alabama"	"01"	"Escambia County, AL"	"01053"	"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent"	"Y14"	31	304091	10.1943
	"Alabama"	"01"	"Etowah County, AL"	"01055"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	16	832089	Unreliable
	"Alabama"	"01"	"Etowah County, AL"	"01055"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	96	832089	11.5372
	"Alabama"	"01"	"Fayette County, AL"	"01057"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	16	136799	Unreliable
	"Alabama"	"01"	"Franklin County, AL"	"01059"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	43	253226	16.9809
	"Alabama"	"01"	"Geneva County, AL"	"01061"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	11	214017	Unreliable
	"Alabama"	"01"	"Houston County, AL"	"01069"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	21	819035	2.5640
	"Alabama"	"01"	"Houston County, AL"	"01069"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	70	819035	8.5466
	"Alabama"	"01"	"Jackson County, AL"	"01071"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	35	424558	8.2439
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	91	5272996	1.7258
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	31	5272996	0.5879
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"Mental and behavioural disorders due to use of cocaine, harmful use"	"F14.1"	31	5272996	0.5879
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"Mental and behavioural disorders due to use of cocaine, unspecified mental and behavioural disorder"	"F14.9"	13	5272996	Unreliable
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use"	"F19.1"	62	5272996	1.1758
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, dependence syndrome"	"F19.2"	10	5272996	Unreliable
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	14	5272996	Unreliable
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	381	5272996	7.2255
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	341	5272996	6.4669
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	11	5272996	Unreliable
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	37	5272996	0.7017
