"Notes"	"Year"	"Year Code"	"State"	"State Code"	"County"	"County Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"2007"	"2007"	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	15	172404	Unreliable
	"2007"	"2007"	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	10	116211	Unreliable
	"2007"	"2007"	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	11	655163	Unreliable
	"2007"	"2007"	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	31	655163	4.7
	"2007"	"2007"	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	32	655163	4.9
	"2007"	"2007"	"Alabama"	"01"	"Lauderdale County, AL"	"01077"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	13	91107	Unreliable
	"2007"	"2007"	"Alabama"	"01"	"Mobile County, AL"	"01097"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	15	405715	Unreliable
	"2007"	"2007"	"Alabama"	"01"	"Mobile County, AL"	"01097"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	31	405715	7.6
	"2007"	"2007"	"Alabama"	"01"	"Morgan County, AL"	"01103"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	12	116397	Unreliable
	"2007"	"2007"	"Alabama"	"01"	"Shelby County, AL"	"01117"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	14	183491	Unreliable
	"2007"	"2007"	"Alabama"	"01"	"Shelby County, AL"	"01117"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	11	183491	Unreliable
	"2007"	"2007"	"Alabama"	"01"	"Tuscaloosa County, AL"	"01125"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	11	184350	Unreliable
	"2007"	"2007"	"Alabama"	"01"	"Tuscaloosa County, AL"	"01125"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	15	184350	Unreliable
	"2007"	"2007"	"Alabama"	"01"	"Walker County, AL"	"01127"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	16	67695	Unreliable
	"2007"	"2007"	"Alaska"	"02"	"Anchorage Borough, AK"	"02020"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	15	278792	Unreliable
	"2007"	"2007"	"Alaska"	"02"	"Anchorage Borough, AK"	"02020"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	22	278792	7.9
	"2007"	"2007"	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	60	3711954	1.6
	"2007"	"2007"	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	200	3711954	5.4
	"2007"	"2007"	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	149	3711954	4.0
	"2007"	"2007"	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	21	3711954	0.6
	"2007"	"2007"	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X62"	19	3711954	Unreliable
	"2007"	"2007"	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	73	3711954	2.0
	"2007"	"2007"	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent"	"Y12"	16	3711954	Unreliable
	"2007"	"2007"	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent"	"Y14"	21	3711954	0.6
	"2007"	"2007"	"Arizona"	"04"	"Mohave County, AZ"	"04015"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	10	199760	Unreliable
	"2007"	"2007"	"Arizona"	"04"	"Pima County, AZ"	"04019"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	72	955869	7.5
	"2007"	"2007"	"Arizona"	"04"	"Pima County, AZ"	"04019"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	55	955869	5.8
	"2007"	"2007"	"Arizona"	"04"	"Pima County, AZ"	"04019"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	13	955869	Unreliable
	"2007"	"2007"	"Arizona"	"04"	"Pinal County, AZ"	"04021"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	11	306174	Unreliable
	"2007"	"2007"	"Arizona"	"04"	"Pinal County, AZ"	"04021"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	15	306174	Unreliable
	"2007"	"2007"	"Arizona"	"04"	"Yavapai County, AZ"	"04025"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	10	208773	Unreliable
	"2007"	"2007"	"Arizona"	"04"	"Yuma County, AZ"	"04027"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	15	187357	Unreliable
	"2007"	"2007"	"Arkansas"	"05"	"Garland County, AR"	"05051"	"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent"	"Y14"	12	94753	Unreliable
	"2007"	"2007"	"Arkansas"	"05"	"Pulaski County, AR"	"05119"	"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent"	"Y14"	11	373403	Unreliable
