State,State Code,Deaths,Population,Crude Rate
Alabama,1,544,4779736,11.3814
Alaska,2,83,710231,11.6863
Arizona,4,1097,6392017,17.162
Arkansas,5,350,2915918,12.0031
California,6,4049,37253956,10.8686
Colorado,8,654,5029196,13.0041
Connecticut,9,363,3574097,10.1564
Delaware,10,145,897934,16.1482
District of Columbia,11,78,601723,12.9628
Florida,12,3059,18801310,16.2701
Georgia,13,1052,9687653,10.8592
Hawaii,15,150,1360301,11.027
Idaho,16,178,1567582,11.3551
Illinois,17,1278,12830632,9.9605
Indiana,18,926,6483802,14.2817
Iowa,19,253,3046355,8.305
Kansas,20,269,2853118,9.4283
Kentucky,21,1007,4339367,23.2061
Louisiana,22,591,4533372,13.0367
Maine,23,135,1328361,10.1629
Maryland,24,650,5773552,11.2582
Massachusetts,25,737,6547629,11.256
Michigan,26,1392,9883640,14.0839
Minnesota,27,397,5303925,7.485
Mississippi,28,333,2967297,11.2223
Missouri,29,993,5988927,16.5806
Montana,30,118,989415,11.9262
Nebraska,31,117,1826341,6.4063
Nevada,32,576,2700551,21.329
New Hampshire,33,160,1316470,12.1537
New Jersey,34,867,8791894,9.8614
New Mexico,35,478,2059179,23.2131
New York,36,1554,19378102,8.0194
North Carolina,37,1093,9535483,11.4625
North Dakota,38,23,672591,3.4196
Ohio,39,1835,11536504,15.906
Oklahoma,40,716,3751351,19.0865
Oregon,41,502,3831074,13.1034
Pennsylvania,42,1913,12702379,15.0602
Rhode Island,44,167,1052567,15.866
South Carolina,45,676,4625364,14.6151
South Dakota,46,45,814180,5.527
Tennessee,47,1079,6346105,17.0026
Texas,48,2394,25145561,9.5206
Utah,49,433,2763885,15.6664
Vermont,50,62,625741,9.9083
Virginia,51,557,8001024,6.9616
Washington,53,915,6724540,13.6069
West Virginia,54,511,1852994,27.577
Wisconsin,55,628,5686986,11.0428
Wyoming,56,85,563626,15.0809
,,38267,308745538,12.3943
