,Deaths,State,County,Year,Population,_merge,Death Rate,Years since policy,Policy or Control
4,17.0,California,"Alameda County, CA",2007,1455715,both,1.1678110069622145,-3.0,Control
5,44.0,California,"Alameda County, CA",2007,1455715,both,3.0225696650786724,-3.0,Control
6,99.0,California,"Alameda County, CA",2007,1455715,both,6.800781746427013,-3.0,Control
7,18.0,California,"Alameda County, CA",2007,1455715,both,1.236505772077639,-3.0,Control
8,18.0,California,"Butte County, CA",2007,217469,both,8.277041785265947,-3.0,Control
9,33.0,California,"Butte County, CA",2007,217469,both,15.174576606320903,-3.0,Control
10,18.0,California,"Contra Costa County, CA",2007,1009152,both,1.783675799086758,-3.0,Control
11,34.0,California,"Contra Costa County, CA",2007,1009152,both,3.369165398274987,-3.0,Control
12,23.0,California,"Contra Costa County, CA",2007,1009152,both,2.2791412988330797,-3.0,Control
13,10.0,California,"Contra Costa County, CA",2007,1009152,both,0.9909309994926433,-3.0,Control
14,14.0,California,"El Dorado County, CA",2007,177694,both,7.878712843427465,-3.0,Control
15,15.0,California,"El Dorado County, CA",2007,177694,both,8.441478046529427,-3.0,Control
16,16.0,California,"Fresno County, CA",2007,895933,both,1.7858478256744645,-3.0,Control
17,40.0,California,"Fresno County, CA",2007,895933,both,4.464619564186161,-3.0,Control
18,14.0,California,"Fresno County, CA",2007,895933,both,1.5626168474651563,-3.0,Control
19,18.0,California,"Humboldt County, CA",2007,132001,both,13.636260331361125,-3.0,Control
20,13.0,California,"Humboldt County, CA",2007,132001,both,9.848410239316369,-3.0,Control
21,29.0,California,"Kern County, CA",2007,803281,both,3.610193693116108,-3.0,Control
22,39.0,California,"Kern County, CA",2007,803281,both,4.855088070052696,-3.0,Control
23,39.0,California,"Kern County, CA",2007,803281,both,4.855088070052696,-3.0,Control
24,11.0,California,"Kings County, CA",2007,150420,both,7.312857332801489,-3.0,Control
25,47.0,California,"Los Angeles County, CA",2007,9700359,both,0.48451815030763296,-3.0,Control
26,278.0,California,"Los Angeles County, CA",2007,9700359,both,2.8658733145855737,-3.0,Control
27,307.0,California,"Los Angeles County, CA",2007,9700359,both,3.164831322222198,-3.0,Control
28,10.0,California,"Los Angeles County, CA",2007,9700359,both,0.1030889681505602,-3.0,Control
29,71.0,California,"Los Angeles County, CA",2007,9700359,both,0.7319316738689774,-3.0,Control
30,16.0,California,"Los Angeles County, CA",2007,9700359,both,0.16494234904089633,-3.0,Control
31,10.0,California,"Marin County, CA",2007,246248,both,4.060946687891882,-3.0,Control
32,27.0,California,"Orange County, CA",2007,2931629,both,0.9209896613793901,-3.0,Control
33,86.0,California,"Orange County, CA",2007,2931629,both,2.9335226251343536,-3.0,Control
34,101.0,California,"Orange County, CA",2007,2931629,both,3.445183548122904,-3.0,Control
35,14.0,California,"Orange County, CA",2007,2931629,both,0.47755019478931343,-3.0,Control
