"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"2004"	"2004"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	16	156266	Unreliable
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"2005"	"2005"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	10	162183	Unreliable
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"2007"	"2007"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	15	172404	Unreliable
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"2008"	"2008"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	13	175827	Unreliable
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"2009"	"2009"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	20	179406	11.1479
	"Alabama"	"01"	"Blount County, AL"	"01009"	"2008"	"2008"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	14	57055	Unreliable
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"2007"	"2007"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	10	116211	Unreliable
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"2008"	"2008"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	15	117274	Unreliable
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"2009"	"2009"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	11	118363	Unreliable
	"Alabama"	"01"	"Chilton County, AL"	"01021"	"2006"	"2006"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	12	42318	Unreliable
	"Alabama"	"01"	"Etowah County, AL"	"01055"	"2008"	"2008"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	10	104206	Unreliable
	"Alabama"	"01"	"Etowah County, AL"	"01055"	"2009"	"2009"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	13	104239	Unreliable
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"2004"	"2004"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	11	656023	Unreliable
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"2004"	"2004"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	26	656023	3.9633
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"2005"	"2005"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	11	654919	Unreliable
