"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"2009"	"2009"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	20	179406	11.1479
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"2010"	"2010"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	18	182265	Unreliable
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"2011"	"2011"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	10	186717	Unreliable
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"2011"	"2011"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	12	186717	Unreliable
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"2012"	"2012"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	18	190790	Unreliable
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"2014"	"2014"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	14	200111	Unreliable
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"2014"	"2014"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	17	200111	Unreliable
	"Alabama"	"01"	"Blount County, AL"	"01009"	"2012"	"2012"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	10	57826	Unreliable
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"2009"	"2009"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	11	118363	Unreliable
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"2010"	"2010"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	18	118572	Unreliable
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"2011"	"2011"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	10	117797	Unreliable
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"2014"	"2014"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	19	115916	Unreliable
	"Alabama"	"01"	"Chilton County, AL"	"01021"	"2010"	"2010"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	10	43643	Unreliable
	"Alabama"	"01"	"Cullman County, AL"	"01043"	"2012"	"2012"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	12	80440	Unreliable
	"Alabama"	"01"	"Cullman County, AL"	"01043"	"2013"	"2013"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	15	80811	Unreliable
	"Alabama"	"01"	"Cullman County, AL"	"01043"	"2014"	"2014"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	23	81289	28.2941
	"Alabama"	"01"	"DeKalb County, AL"	"01049"	"2012"	"2012"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	12	71080	Unreliable
	"Alabama"	"01"	"DeKalb County, AL"	"01049"	"2013"	"2013"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	17	71013	Unreliable
	"Alabama"	"01"	"Etowah County, AL"	"01055"	"2009"	"2009"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	13	104239	Unreliable
	"Alabama"	"01"	"Etowah County, AL"	"01055"	"2011"	"2011"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	12	104303	Unreliable
	"Alabama"	"01"	"Etowah County, AL"	"01055"	"2013"	"2013"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	18	103931	Unreliable
	"Alabama"	"01"	"Etowah County, AL"	"01055"	"2014"	"2014"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	13	103531	Unreliable
	"Alabama"	"01"	"Houston County, AL"	"01069"	"2011"	"2011"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	10	102369	Unreliable
	"Alabama"	"01"	"Houston County, AL"	"01069"	"2013"	"2013"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	13	103668	Unreliable
	"Alabama"	"01"	"Houston County, AL"	"01069"	"2014"	"2014"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	11	104193	Unreliable
	"Alabama"	"01"	"Jackson County, AL"	"01071"	"2012"	"2012"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	11	53019	Unreliable
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"2009"	"2009"	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	15	658441	Unreliable
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"2009"	"2009"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	33	658441	5.0118
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"2009"	"2009"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	45	658441	6.8343
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"2010"	"2010"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	27	658466	4.1004
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"2010"	"2010"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	26	658466	3.9486
