State,Education Rank
Alabama,46
Alaska,15
Arizona,31
Arkansas,48
California,35
Colorado,3
Connecticut,5
Delaware,26
Florida,37
Georgia,38
Hawaii,16
Idaho,30
Illinois,19
Indiana,40
Iowa,25
Kansas,17
Kentucky,47
Louisiana,49
Maine,23
Maryland,4
Massachusetts,2
Michigan,27
Minnesota,8
Mississippi,50
Missouri,33
Montana,14
Nebraska,18
Nevada,44
New Hampshire,6
New Jersey,12
New Mexico,39
New York,22
North Carolina,36
North Dakota,20
Ohio,34
Oklahoma,42
Oregon,13
Pennsylvania,32
Rhode Island,29
South Carolina,41
South Dakota,28
Tennessee,45
Texas,43
Utah,11
Vermont,7
Virginia,10
Washington,9
West Virginia,51
Wisconsin,24
Wyoming,21
