,Deaths,State,County,Year,Population,_merge,Death Rate,Years since policy,Policy or Control
7132,28.0,Arkansas,"Arkansas County, AR",1999,20966,both,133.54955642468758,,Control
7134,12.0,Arkansas,"Arkansas County, AR",1999,20966,both,57.235524182008966,,Control
7135,29.0,Arkansas,"Arkansas County, AR",2000,20749,both,139.76577184442624,,Control
7136,29.0,Arkansas,"Arkansas County, AR",2001,20593,both,140.82455203224396,,Control
7137,11.0,Arkansas,"Arkansas County, AR",2000,20749,both,53.014603113403055,,Control
7138,11.0,Arkansas,"Arkansas County, AR",2001,20593,both,53.41620939154081,,Control
7139,23.0,Arkansas,"Arkansas County, AR",2002,20351,both,113.01655938283132,,Control
7140,23.0,Arkansas,"Arkansas County, AR",2003,19981,both,115.10935388619188,,Control
7141,22.0,Arkansas,"Arkansas County, AR",2002,20351,both,108.10279593140386,,Control
7142,22.0,Arkansas,"Arkansas County, AR",2003,19981,both,110.10459936940094,,Control
7143,15.0,Arkansas,"Arkansas County, AR",2004,19967,both,75.1239545249662,-3.0,Control
7144,26.0,Arkansas,"Arkansas County, AR",2005,19954,both,130.29968928535632,-2.0,Control
7145,26.0,Arkansas,"Arkansas County, AR",2006,19785,both,131.41268637856962,-1.0,Control
7146,12.0,Arkansas,"Arkansas County, AR",2005,19954,both,60.13831813170292,-2.0,Control
7147,12.0,Arkansas,"Arkansas County, AR",2006,19785,both,60.65200909780137,-1.0,Control
7148,13.0,Arkansas,"Arkansas County, AR",2007,19434,both,66.89307399403108,0.0,Control
7149,13.0,Arkansas,"Arkansas County, AR",2008,19275,both,67.44487678339819,1.0,Control
7150,13.0,Arkansas,"Arkansas County, AR",2009,19134,both,67.94188355806418,2.0,Control
7151,30.0,Arkansas,"Arkansas County, AR",2007,19434,both,154.36863229391787,0.0,Control
7152,30.0,Arkansas,"Arkansas County, AR",2008,19275,both,155.64202334630352,1.0,Control
7153,30.0,Arkansas,"Arkansas County, AR",2009,19134,both,156.7889620570712,2.0,Control
7154,10.0,Arkansas,"Arkansas County, AR",2007,19434,both,51.45621076463929,0.0,Control
7155,10.0,Arkansas,"Arkansas County, AR",2008,19275,both,51.880674448767834,1.0,Control
7156,10.0,Arkansas,"Arkansas County, AR",2009,19134,both,52.26298735235706,2.0,Control
7157,27.0,Arkansas,"Arkansas County, AR",2010,19019,both,141.9632998580367,,Control
7158,27.0,Arkansas,"Arkansas County, AR",2011,18892,both,142.9176370950667,,Control
7159,15.0,Arkansas,"Arkansas County, AR",2010,19019,both,78.8684999211315,,Control
7160,15.0,Arkansas,"Arkansas County, AR",2011,18892,both,79.39868727503706,,Control
7161,20.0,Arkansas,"Arkansas County, AR",2012,18892,both,105.86491636671606,,Control
7162,20.0,Arkansas,"Arkansas County, AR",2013,18777,both,106.5132875326197,,Control
7163,14.0,Arkansas,"Arkansas County, AR",2012,18892,both,74.10544145670124,,Control
7164,14.0,Arkansas,"Arkansas County, AR",2013,18777,both,74.55930127283378,,Control
7165,14.0,Arkansas,"Arkansas County, AR",2014,18594,both,75.29310530278585,,Control
7166,12.0,Arkansas,"Arkansas County, AR",2015,18433,both,65.10063473118862,,Control
7167,15.0,Arkansas,"Arkansas County, AR",2016,18214,both,82.3542330075766,,Control
7168,12.0,Arkansas,"Arkansas County, AR",2017,17967,both,66.78911337451996,,Control
7169,15.0,Arkansas,"Arkansas County, AR",2018,17769,both,84.41668073611346,,Control
7170,15.0,Arkansas,"Arkansas County, AR",2019,17486,both,85.78291204392085,,Control
7171,11.0,Arkansas,"Arkansas County, AR",2018,17769,both,61.90556587314987,,Control
7172,11.0,Arkansas,"Arkansas County, AR",2019,17486,both,62.90746883220863,,Control
7173,13.0,Arkansas,"Arkansas County, AR",2020,17383,both,74.78571017660933,,Control
7174,13.0,Arkansas,"Ashley County, AR",1999,24261,both,53.58394130497506,,Control
7175,15.0,Arkansas,"Arkansas County, AR",2020,17383,both,86.29120404993384,,Control
7176,15.0,Arkansas,"Ashley County, AR",1999,24261,both,61.82762458266354,,Control
7177,11.0,Arkansas,"Ashley County, AR",2000,24209,both,45.437647156016354,,Control
7178,11.0,Arkansas,"Ashley County, AR",2001,23824,both,46.1719274680994,,Control
7179,18.0,Arkansas,"Ashley County, AR",2000,24209,both,74.35251352802676,,Control
7180,18.0,Arkansas,"Ashley County, AR",2001,23824,both,75.55406312961719,,Control
7181,21.0,Arkansas,"Ashley County, AR",2002,23745,both,88.43967150979154,,Control
7182,21.0,Arkansas,"Ashley County, AR",2003,23469,both,89.47973923047424,,Control
7183,21.0,Arkansas,"Ashley County, AR",2004,23156,both,90.68923821039904,-3.0,Control
7184,30.0,Arkansas,"Ashley County, AR",2003,23469,both,127.82819890067749,,Control
7185,30.0,Arkansas,"Ashley County, AR",2004,23156,both,129.55605458628432,-3.0,Control
7186,22.0,Arkansas,"Ashley County, AR",2005,22770,both,96.61835748792271,-2.0,Control
7187,22.0,Arkansas,"Ashley County, AR",2006,22501,both,97.77343229189813,-1.0,Control
7188,22.0,Arkansas,"Ashley County, AR",2005,22770,both,96.61835748792271,-2.0,Control
