,State,County,Year,Deaths,Population,_merge,Death Rate,Years since policy,Policy or Control
98,Alaska,"Anchorage Borough, AK",2009,16.0,287677.0,both,5.56179326119224,-3,Control
99,Alaska,"Anchorage Borough, AK",2009,27.0,287677.0,both,9.385526128261905,-3,Control
100,Alaska,"Anchorage Borough, AK",2010,17.0,291826.0,both,5.825389101725,-2,Control
101,Alaska,"Anchorage Borough, AK",2010,14.0,291826.0,both,4.797379260244118,-2,Control
102,Alaska,"Anchorage Borough, AK",2011,13.0,295570.0,both,4.39828128700477,-1,Control
103,Alaska,"Anchorage Borough, AK",2011,31.0,295570.0,both,10.48820922285753,-1,Control
104,Alaska,"Anchorage Borough, AK",2012,22.0,298610.0,both,7.367469274304277,0,Control
105,Alaska,"Anchorage Borough, AK",2012,27.0,298610.0,both,9.04189410937343,0,Control
106,Alaska,"Anchorage Borough, AK",2013,17.0,300950.0,both,5.648778866921416,1,Control
107,Alaska,"Anchorage Borough, AK",2013,22.0,300950.0,both,7.310184416015949,1,Control
108,Alaska,"Anchorage Borough, AK",2014,26.0,301010.0,both,8.637586791136508,2,Control
109,Alaska,"Anchorage Borough, AK",2014,15.0,301010.0,both,4.9832231487326,2,Control
110,Alaska,"Kenai Peninsula Borough, AK",2009,10.0,54796.0,both,18.24950726330389,-3,Control
111,Alaska,"Matanuska-Susitna Borough, AK",2012,13.0,93925.0,both,13.84083044982699,0,Control
112,Alaska,"Matanuska-Susitna Borough, AK",2014,11.0,97882.0,both,11.238021290942154,2,Control
1565,Hawaii,"Hawaii County, HI",2009,14.0,183629.0,both,7.624068093819604,-3,Control
1566,Hawaii,"Hawaii County, HI",2010,10.0,185079.0,both,5.403098136471453,-2,Control
1567,Hawaii,"Honolulu County, HI",2009,36.0,943177.0,both,3.8168869681936686,-3,Control
1568,Hawaii,"Honolulu County, HI",2009,28.0,943177.0,both,2.9686898641506314,-3,Control
1569,Hawaii,"Honolulu County, HI",2009,17.0,943177.0,both,1.8024188460914548,-3,Control
1570,Hawaii,"Honolulu County, HI",2010,33.0,953207.0,both,3.4619972366967513,-2,Control
1571,Hawaii,"Honolulu County, HI",2010,33.0,953207.0,both,3.4619972366967513,-2,Control
1572,Hawaii,"Honolulu County, HI",2010,16.0,953207.0,both,1.678544114762061,-2,Control
1573,Hawaii,"Honolulu County, HI",2010,10.0,953207.0,both,1.049090071726288,-2,Control
1574,Hawaii,"Honolulu County, HI",2011,39.0,963607.0,both,4.047293139215468,-1,Control
1575,Hawaii,"Honolulu County, HI",2011,25.0,963607.0,both,2.5944186789842747,-1,Control
1576,Hawaii,"Honolulu County, HI",2011,14.0,963607.0,both,1.4528744602311938,-1,Control
1577,Hawaii,"Honolulu County, HI",2011,10.0,963607.0,both,1.0377674715937097,-1,Control
1578,Hawaii,"Honolulu County, HI",2012,33.0,976372.0,both,3.379859315916475,0,Control
1579,Hawaii,"Honolulu County, HI",2012,19.0,976372.0,both,1.9459796061337276,0,Control
1580,Hawaii,"Honolulu County, HI",2012,16.0,976372.0,both,1.638719668323139,0,Control
1581,Hawaii,"Honolulu County, HI",2012,12.0,976372.0,both,1.2290397512423543,0,Control
1582,Hawaii,"Honolulu County, HI",2013,39.0,983429.0,both,3.9657158778112094,1,Control
1583,Hawaii,"Honolulu County, HI",2013,21.0,983429.0,both,2.1353854726675747,1,Control
1584,Hawaii,"Honolulu County, HI",2013,31.0,983429.0,both,3.152235697747372,1,Control
1585,Hawaii,"Honolulu County, HI",2014,32.0,991788.0,both,3.2264959850290587,2,Control
1586,Hawaii,"Honolulu County, HI",2014,16.0,991788.0,both,1.6132479925145293,2,Control
1587,Hawaii,"Honolulu County, HI",2014,31.0,991788.0,both,3.1256679854969005,2,Control
1588,Hawaii,"Honolulu County, HI",2014,12.0,991788.0,both,1.209935994385897,2,Control
1905,Iowa,"Johnson County, IA",2014,12.0,142287.0,both,8.43365873199941,2,Control
1906,Iowa,"Linn County, IA",2011,10.0,213875.0,both,4.67562828755114,-1,Control
1907,Iowa,"Linn County, IA",2013,11.0,216111.0,both,5.089976910013836,1,Control
1908,Iowa,"Linn County, IA",2014,16.0,217751.0,both,7.347842260196279,2,Control
1909,Iowa,"Polk County, IA",2009,16.0,425737.0,both,3.7581887409363057,-3,Control
1910,Iowa,"Polk County, IA",2009,15.0,425737.0,both,3.5233019446277867,-3,Control
1911,Iowa,"Polk County, IA",2010,16.0,430640.0,both,3.7154003343860302,-2,Control
1912,Iowa,"Polk County, IA",2010,14.0,430640.0,both,3.250975292587776,-2,Control
1913,Iowa,"Polk County, IA",2010,10.0,430640.0,both,2.322125208991269,-2,Control
1914,Iowa,"Polk County, IA",2011,22.0,437399.0,both,5.029732578263782,-1,Control
1915,Iowa,"Polk County, IA",2011,17.0,437399.0,both,3.8866115377492862,-1,Control
1916,Iowa,"Polk County, IA",2012,22.0,443710.0,both,4.958193414617655,0,Control
1917,Iowa,"Polk County, IA",2012,15.0,443710.0,both,3.380586419057493,0,Control
1918,Iowa,"Polk County, IA",2013,18.0,451677.0,both,3.9851486792553086,1,Control
1919,Iowa,"Polk County, IA",2013,22.0,451677.0,both,4.870737274645378,1,Control
1920,Iowa,"Polk County, IA",2014,10.0,459862.0,both,2.1745654131021914,2,Control
1921,Iowa,"Polk County, IA",2014,12.0,459862.0,both,2.60947849572263,2,Control
1922,Iowa,"Polk County, IA",2014,15.0,459862.0,both,3.2618481196532874,2,Control
1923,Iowa,"Scott County, IA",2011,11.0,167095.0,both,6.583081480594871,-1,Control
1924,Iowa,"Scott County, IA",2012,14.0,168799.0,both,8.293887996966808,0,Control
1925,Iowa,"Scott County, IA",2013,12.0,170385.0,both,7.042873492384893,1,Control
1926,Iowa,"Scott County, IA",2013,21.0,170385.0,both,12.325028611673563,1,Control
1927,Kansas,"Johnson County, KS",2009,14.0,539396.0,both,2.5954957026006866,-3,Control
1928,Kansas,"Johnson County, KS",2009,11.0,539396.0,both,2.039318052043397,-3,Control
1929,Kansas,"Johnson County, KS",2010,13.0,544179.0,both,2.3889198223378707,-2,Control
1930,Kansas,"Johnson County, KS",2011,20.0,552991.0,both,3.616695389255883,-1,Control
1931,Kansas,"Johnson County, KS",2012,13.0,559913.0,both,2.3217892779771145,0,Control
1932,Kansas,"Johnson County, KS",2012,14.0,559913.0,both,2.500388453206123,0,Control
1933,Kansas,"Johnson County, KS",2012,11.0,559913.0,both,1.9645909275190967,0,Control
