,Deaths,State,County,Year,Population,_merge,Death Rate,Years since policy,Policy or Control
98,16.0,Alaska,"Anchorage Borough, AK",2009,287677,both,5.56179326119224,-3.0,Control
99,27.0,Alaska,"Anchorage Borough, AK",2009,287677,both,9.385526128261905,-3.0,Control
100,17.0,Alaska,"Anchorage Borough, AK",2010,291826,both,5.825389101725,-2.0,Control
101,14.0,Alaska,"Anchorage Borough, AK",2010,291826,both,4.797379260244118,-2.0,Control
102,13.0,Alaska,"Anchorage Borough, AK",2011,295570,both,4.39828128700477,-1.0,Control
103,31.0,Alaska,"Anchorage Borough, AK",2011,295570,both,10.48820922285753,-1.0,Control
104,22.0,Alaska,"Anchorage Borough, AK",2012,298610,both,7.367469274304277,0.0,Control
105,27.0,Alaska,"Anchorage Borough, AK",2012,298610,both,9.04189410937343,0.0,Control
106,17.0,Alaska,"Anchorage Borough, AK",2013,300950,both,5.648778866921416,1.0,Control
107,22.0,Alaska,"Anchorage Borough, AK",2013,300950,both,7.310184416015949,1.0,Control
108,26.0,Alaska,"Anchorage Borough, AK",2014,301010,both,8.637586791136508,2.0,Control
109,15.0,Alaska,"Anchorage Borough, AK",2014,301010,both,4.9832231487326,2.0,Control
110,10.0,Alaska,"Kenai Peninsula Borough, AK",2009,54796,both,18.24950726330389,-3.0,Control
111,13.0,Alaska,"Matanuska-Susitna Borough, AK",2012,93925,both,13.84083044982699,0.0,Control
112,11.0,Alaska,"Matanuska-Susitna Borough, AK",2014,97882,both,11.238021290942154,2.0,Control
1565,14.0,Hawaii,"Hawaii County, HI",2009,183629,both,7.624068093819604,-3.0,Control
1566,10.0,Hawaii,"Hawaii County, HI",2010,185079,both,5.403098136471453,-2.0,Control
1567,36.0,Hawaii,"Honolulu County, HI",2009,943177,both,3.8168869681936686,-3.0,Control
1568,28.0,Hawaii,"Honolulu County, HI",2009,943177,both,2.9686898641506314,-3.0,Control
1569,17.0,Hawaii,"Honolulu County, HI",2009,943177,both,1.8024188460914548,-3.0,Control
1570,33.0,Hawaii,"Honolulu County, HI",2010,953207,both,3.4619972366967513,-2.0,Control
1571,33.0,Hawaii,"Honolulu County, HI",2010,953207,both,3.4619972366967513,-2.0,Control
1572,16.0,Hawaii,"Honolulu County, HI",2010,953207,both,1.678544114762061,-2.0,Control
1573,10.0,Hawaii,"Honolulu County, HI",2010,953207,both,1.049090071726288,-2.0,Control
1574,39.0,Hawaii,"Honolulu County, HI",2011,963607,both,4.047293139215468,-1.0,Control
1575,25.0,Hawaii,"Honolulu County, HI",2011,963607,both,2.5944186789842747,-1.0,Control
1576,14.0,Hawaii,"Honolulu County, HI",2011,963607,both,1.4528744602311938,-1.0,Control
1577,10.0,Hawaii,"Honolulu County, HI",2011,963607,both,1.0377674715937097,-1.0,Control
1578,33.0,Hawaii,"Honolulu County, HI",2012,976372,both,3.379859315916475,0.0,Control
1579,19.0,Hawaii,"Honolulu County, HI",2012,976372,both,1.9459796061337276,0.0,Control
1580,16.0,Hawaii,"Honolulu County, HI",2012,976372,both,1.638719668323139,0.0,Control
