Year,State,BUYER_STATE,BUYER_COUNTY,Population,T_YEAR,MME
2007,Florida,FL,ALACHUA,242685,2007,95259627.97678752
2007,Florida,FL,BAKER,26212,2007,13793788.183225
2007,Florida,FL,BAY,165345,2007,61255857.9992625
2007,Florida,FL,BRADFORD,28825,2007,15854865.475125
2007,Florida,FL,BREVARD,539719,2007,246505683.93823752
2007,Florida,FL,BROWARD,1720825,2007,1720337481.7214875
2007,Florida,FL,CALHOUN,14222,2007,2021532.2535
2007,Florida,FL,CHARLOTTE,159742,2007,103366666.8672
2007,Florida,FL,CITRUS,140974,2007,58420509.5731125
2007,Florida,FL,CLAY,184256,2007,85815940.69482501
2007,Florida,FL,COLLIER,314437,2007,129910312.756925
2007,Florida,FL,COLUMBIA,66604,2007,30011436.1680125
2007,Florida,FL,DESOTO,34537,2007,0.0
2007,Florida,FL,DIXIE,16083,2007,3098699.7413625
2007,Florida,FL,DUVAL,851033,2007,344954365.4414875
2007,Florida,FL,ESCAMBIA,297393,2007,113832921.20252752
2007,Florida,FL,FLAGLER,90516,2007,24313087.5877625
2007,Florida,FL,FRANKLIN,11491,2007,2099076.5175
2007,Florida,FL,GADSDEN,45867,2007,7138511.4675
2007,Florida,FL,GILCHRIST,16610,2007,4195956.2895
2007,Florida,FL,GLADES,12357,2007,0.0
2007,Florida,FL,GULF,15908,2007,3813947.766
2007,Florida,FL,HAMILTON,14589,2007,2249353.0935
2007,Florida,FL,HARDEE,27489,2007,3996159.5725
2007,Florida,FL,HENDRY,39006,2007,19191329.0120875
2007,Florida,FL,HERNANDO,169891,2007,111241430.896115
2007,Florida,FL,HIGHLANDS,99023,2007,24466187.28794
2007,Florida,FL,HILLSBOROUGH,1184686,2007,1189548966.7853
2007,Florida,FL,HOLMES,19991,2007,5388630.639225
2007,Florida,FL,INDIAN RIVER,134564,2007,51702138.7888875
2007,Florida,FL,JACKSON,48368,2007,11355734.5475
2007,Florida,FL,JEFFERSON,14383,2007,1732034.337
2007,Florida,FL,LAFAYETTE,8398,2007,1355772.4875
2007,Florida,FL,LAKE,289909,2007,82180027.331575
2007,Florida,FL,LEE,604716,2007,295673263.56946254
2007,Florida,FL,LEON,268519,2007,47083400.8203125
2007,Florida,FL,LEVY,40204,2007,22313800.503725
2007,Florida,FL,LIBERTY,8113,2007,738323.0205
2007,Florida,FL,MADISON,19322,2007,2632527.374225
2007,Florida,FL,MANATEE,316410,2007,172443214.15869
2007,Florida,FL,MARION,325634,2007,140167108.3894625
2007,Florida,FL,MARTIN,143542,2007,77097869.3673125
2007,Florida,FL,MIAMI-DADE,2415576,2007,373495881.1988501
2007,Florida,FL,MONROE,72906,2007,46281924.684225
2007,Florida,FL,NASSAU,69969,2007,30364848.846725
2007,Florida,FL,OKALOOSA,182677,2007,51948686.9043375
2007,Florida,FL,OKEECHOBEE,39840,2007,24923110.1409
2007,Florida,FL,ORANGE,1100663,2007,305170616.44327503
2007,Florida,FL,OSCEOLA,253722,2007,64095232.3279875
2007,Florida,FL,PALM BEACH,1286586,2007,924515014.484675
2007,Florida,FL,PASCO,453579,2007,356094008.8700125
2007,Florida,FL,PINELLAS,918624,2007,636336297.667465
2007,Florida,FL,POLK,585982,2007,170075524.03268752
2007,Florida,FL,PUTNAM,75107,2007,39640180.5800125
2007,Florida,FL,SANTA ROSA,146158,2007,51318023.23173
2007,Florida,FL,SARASOTA,375325,2007,242670386.16229
2007,Florida,FL,SEMINOLE,413571,2007,185430988.6242125
2007,Florida,FL,SUMTER,82101,2007,16784182.853
2007,Florida,FL,SUWANNEE,40309,2007,11324528.01785
2007,Florida,FL,TAYLOR,21805,2007,6762137.541362501
2007,Florida,FL,UNION,15419,2007,2777340.3794
2007,Florida,FL,VOLUSIA,498935,2007,195477553.01975
2007,Florida,FL,WAKULLA,28588,2007,7575903.873500001
2007,Florida,FL,WALTON,52355,2007,24799001.058965
2007,Florida,FL,WASHINGTON,23469,2007,9660023.1783
2008,Florida,FL,ALACHUA,244888,2008,114675221.9217625
2008,Florida,FL,BAKER,26725,2008,15651322.154225
2008,Florida,FL,BAY,166267,2008,65665012.9212625
2008,Florida,FL,BRADFORD,28961,2008,17501063.6835
2008,Florida,FL,BREVARD,542378,2008,317947599.2637875
2008,Florida,FL,BROWARD,1723633,2008,2180537488.6392627
2008,Florida,FL,CALHOUN,14351,2008,2225156.55
2008,Florida,FL,CHARLOTTE,160467,2008,142308398.400525
2008,Florida,FL,CITRUS,142122,2008,71761417.6846625
2008,Florida,FL,CLAY,187289,2008,98532925.9160125
2008,Florida,FL,COLLIER,316641,2008,147472347.386
2008,Florida,FL,COLUMBIA,67318,2008,37731017.1378125
2008,Florida,FL,DESOTO,34374,2008,0.0
2008,Florida,FL,DIXIE,16214,2008,3247389.765
2008,Florida,FL,DUVAL,855437,2008,408809255.0861
2008,Florida,FL,ESCAMBIA,296854,2008,116136843.9933875
2008,Florida,FL,FLAGLER,93546,2008,30727470.41245
2008,Florida,FL,FRANKLIN,11484,2008,2152977.9473625
2008,Florida,FL,GADSDEN,46319,2008,6724820.623500001
2008,Florida,FL,GILCHRIST,16797,2008,4955842.2
2008,Florida,FL,GLADES,12752,2008,0.0
2008,Florida,FL,GULF,15851,2008,3573714.215
2008,Florida,FL,HAMILTON,14785,2008,3039991.791
2008,Florida,FL,HARDEE,27603,2008,4647926.0445
2008,Florida,FL,HENDRY,39177,2008,20998036.911
2008,Florida,FL,HERNANDO,172437,2008,197158775.3677125
2008,Florida,FL,HIGHLANDS,99568,2008,28613962.2635
2008,Florida,FL,HILLSBOROUGH,1196773,2008,1507903618.6257374
2008,Florida,FL,HOLMES,20141,2008,5350438.7895875
2008,Florida,FL,INDIAN RIVER,136277,2008,64186802.972625
