,Year_y,State_y,Deaths,Population_y,County Name,Death Rate,Policy or Control
6150,2014,Florida,12.0,256380,Alachua County,4.68055230517201,Policy
6151,2012,Florida,12.0,27086,Alachua County,44.30333013364838,Policy
6152,2010,Florida,12.0,168852,Alachua County,7.106815436003127,Policy
6153,2008,Florida,12.0,28961,Alachua County,41.43503332067263,Policy
6154,2006,Florida,12.0,535138,Alachua County,2.242412237591051,Policy
6155,2004,Florida,12.0,1725461,Alachua County,0.6954663130606835,Policy
6156,2002,Florida,12.0,12947,Alachua County,92.68556422337221,Policy
6157,2000,Florida,12.0,141627,Alachua County,8.472960664280116,Policy
6158,2014,Florida,13.0,256380,Bay County,5.070598330603011,Policy
6159,2012,Florida,13.0,27086,Bay County,47.995274311452405,Policy
6160,2010,Florida,13.0,168852,Bay County,7.699050055670055,Policy
6161,2008,Florida,13.0,28961,Bay County,44.887952764062014,Policy
6162,2006,Florida,13.0,535138,Bay County,2.4292799240569725,Policy
6163,2004,Florida,13.0,1725461,Bay County,0.7534218391490738,Policy
6164,2002,Florida,13.0,12947,Bay County,100.40936124198656,Policy
6165,2000,Florida,13.0,141627,Bay County,9.179040719636792,Policy
6166,2013,Florida,11.0,253451,Bay County,4.34008940584176,Policy
6167,2011,Florida,11.0,27154,Bay County,40.509685497532594,Policy
6168,2009,Florida,11.0,167464,Bay County,6.568575932737782,Policy
6169,2007,Florida,11.0,28825,Bay County,38.161318300086734,Policy
6170,2005,Florida,11.0,529907,Bay County,2.0758359485721076,Policy
6171,2003,Florida,11.0,1707543,Bay County,0.6442004681580493,Policy
6172,2001,Florida,11.0,12847,Bay County,85.62310266988402,Policy
6173,1999,Florida,11.0,140240,Bay County,7.843696520250997,Policy
6174,2017,Florida,11.0,266944,Bay County,4.120714456964757,Policy
6175,2015,Florida,11.0,27420,Bay County,40.116703136396794,Policy
6176,2013,Florida,11.0,174987,Bay County,6.286181259179254,Policy
6177,2011,Florida,11.0,28255,Bay County,38.93116262608388,Policy
6178,2009,Florida,11.0,542109,Bay County,2.0291122265079533,Policy
6179,2007,Florida,11.0,1720825,Bay County,0.639228277134514,Policy
6180,2005,Florida,11.0,13850,Bay County,79.42238267148015,Policy
6181,2003,Florida,11.0,153235,Bay County,7.178516657421607,Policy
6182,2001,Florida,11.0,121197,Bay County,9.076132247497874,Policy
6183,1999,Florida,11.0,138704,Bay County,7.930557157688314,Policy
6184,2017,Florida,37.0,266944,Brevard County,13.860584991608727,Policy
6185,2015,Florida,37.0,27420,Brevard County,134.9380014587892,Policy
6186,2013,Florida,37.0,174987,Brevard County,21.14442787178476,Policy
