,Year_y,State_y,Deaths,Population_y,County Name,Death Rate,Policy or Control
17942,2020,Texas,10.0,6697,Bell County,149.32059130954158,Policy
17943,2018,Texas,10.0,22824,Bell County,43.813529617946024,Policy
17944,2016,Texas,10.0,82733,Bell County,12.087075290391983,Policy
17945,2014,Texas,10.0,3592,Bell County,278.39643652561244,Policy
17946,2012,Texas,10.0,32527,Bell County,30.74368985765672,Policy
17947,2010,Texas,10.0,310235,Bell County,3.2233629345496158,Policy
17948,2008,Texas,10.0,1651709,Bell County,0.6054335237018144,Policy
17949,2006,Texas,10.0,9686,Bell County,103.24179227751394,Policy
17950,2002,Texas,10.0,17474,Bell County,57.227881423829686,Policy
17951,2000,Texas,10.0,89306,Bell County,11.197455938010885,Policy
17952,2019,Texas,11.0,23112,Bell County,47.59432329525788,Policy
17953,2017,Texas,11.0,84761,Bell County,12.977666615542526,Policy
17954,2015,Texas,11.0,3618,Bell County,304.03537866224434,Policy
17955,2013,Texas,11.0,32799,Bell County,33.53760785389799,Policy
17956,2011,Texas,11.0,315196,Bell County,3.489892003705631,Policy
17957,2009,Texas,11.0,1685628,Bell County,0.6525757759125976,Policy
17958,2007,Texas,11.0,9835,Bell County,111.84544992374173,Policy
17959,2003,Texas,11.0,17647,Bell County,62.33354111180371,Policy
17960,2001,Texas,11.0,88942,Bell County,12.367610352814193,Policy
17961,1999,Texas,11.0,237602,Bell County,4.62959066001128,Policy
17962,2019,Texas,10.0,23112,Bexar County,43.26756663205261,Policy
17963,2017,Texas,10.0,84761,Bexar County,11.797878741402295,Policy
17964,2015,Texas,10.0,3618,Bexar County,276.3957987838585,Policy
17965,2013,Texas,10.0,32799,Bexar County,30.488734412634532,Policy
17966,2011,Texas,10.0,315196,Bexar County,3.172629094277846,Policy
17967,2009,Texas,10.0,1685628,Bexar County,0.5932507053750886,Policy
17968,2007,Texas,10.0,9835,Bexar County,101.67768174885613,Policy
17969,2003,Texas,10.0,17647,Bexar County,56.66685555618518,Policy
17970,2001,Texas,10.0,88942,Bexar County,11.243282138921995,Policy
17971,1999,Texas,10.0,237602,Bexar County,4.208718781828435,Policy
17972,2019,Texas,105.0,23112,Bexar County,454.3094496365524,Policy
17973,2017,Texas,105.0,84761,Bexar County,123.8777267847241,Policy
17974,2015,Texas,105.0,3618,Bexar County,2902.155887230514,Policy
17975,2013,Texas,105.0,32799,Bexar County,320.1317113326626,Policy
17976,2011,Texas,105.0,315196,Bexar County,33.31260548991739,Policy
17977,2009,Texas,105.0,1685628,Bexar County,6.229132406438431,Policy
17978,2007,Texas,105.0,9835,Bexar County,1067.6156583629893,Policy
17979,2003,Texas,105.0,17647,Bexar County,595.0019833399444,Policy
17980,2001,Texas,105.0,88942,Bexar County,118.05446245868093,Policy
17981,1999,Texas,105.0,237602,Bexar County,44.191547209198575,Policy
17982,2019,Texas,54.0,23112,Bexar County,233.64485981308408,Policy
17983,2017,Texas,54.0,84761,Bexar County,63.7085452035724,Policy
17984,2015,Texas,54.0,3618,Bexar County,1492.5373134328358,Policy
17985,2013,Texas,54.0,32799,Bexar County,164.63916582822648,Policy
17986,2011,Texas,54.0,315196,Bexar County,17.13219710910037,Policy
17987,2009,Texas,54.0,1685628,Bexar County,3.203553809025479,Policy
17988,2007,Texas,54.0,9835,Bexar County,549.0594814438231,Policy
17989,2003,Texas,54.0,17647,Bexar County,306.0010200034,Policy
17990,2001,Texas,54.0,88942,Bexar County,60.71372355017877,Policy
17991,1999,Texas,54.0,237602,Bexar County,22.727081421873553,Policy
17992,2019,Texas,17.0,23112,Bexar County,73.55486327448943,Policy
17993,2017,Texas,17.0,84761,Bexar County,20.056393860383903,Policy
17994,2015,Texas,17.0,3618,Bexar County,469.87285793255944,Policy
17995,2013,Texas,17.0,32799,Bexar County,51.8308485014787,Policy
17996,2011,Texas,17.0,315196,Bexar County,5.393469460272338,Policy
17997,2009,Texas,17.0,1685628,Bexar County,1.0085261991376508,Policy
17998,2007,Texas,17.0,9835,Bexar County,172.85205897305542,Policy
17999,2003,Texas,17.0,17647,Bexar County,96.33365444551481,Policy
18000,2001,Texas,17.0,88942,Bexar County,19.11357963616739,Policy
18001,1999,Texas,17.0,237602,Bexar County,7.154821929108341,Policy
18002,2020,Texas,15.0,23861,Bell County,62.86408784208542,Policy
18003,2018,Texas,15.0,86976,Bell County,17.246136865342166,Policy
18004,2016,Texas,15.0,3697,Bell County,405.7343792263998,Policy
18005,2014,Texas,15.0,32863,Bell County,45.644037367251926,Policy
18006,2012,Texas,15.0,323037,Bell County,4.643430938251655,Policy
18007,2010,Texas,15.0,1714773,Bell County,0.8747513519282143,Policy
18008,2008,Texas,15.0,10061,Bell County,149.0905476592784,Policy
18009,2004,Texas,15.0,17871,Bell County,83.9348665435622,Policy
18010,2002,Texas,15.0,88813,Bell County,16.88941934176303,Policy
18011,2000,Texas,15.0,241767,Bell County,6.20432068892777,Policy
18012,2020,Texas,17.0,23861,Bexar County,71.24596622103014,Policy
18013,2018,Texas,17.0,86976,Bexar County,19.54562178072112,Policy
18014,2016,Texas,17.0,3697,Bexar County,459.8322964565864,Policy
18015,2014,Texas,17.0,32863,Bexar County,51.729909016218855,Policy
18016,2012,Texas,17.0,323037,Bexar County,5.262555063351876,Policy
18017,2010,Texas,17.0,1714773,Bexar County,0.991384865518643,Policy
18018,2008,Texas,17.0,10061,Bexar County,168.9692873471822,Policy
18019,2004,Texas,17.0,17871,Bexar County,95.12618208270382,Policy
18020,2002,Texas,17.0,88813,Bexar County,19.141341920664768,Policy
18021,2000,Texas,17.0,241767,Bexar County,7.0315634474514725,Policy
18022,2020,Texas,106.0,23861,Bexar County,444.2395540840702,Policy
18023,2018,Texas,106.0,86976,Bexar County,121.87270051508463,Policy
18024,2016,Texas,106.0,3697,Bexar County,2867.189613199892,Policy
18025,2014,Texas,106.0,32863,Bexar County,322.55119739524696,Policy
18026,2012,Texas,106.0,323037,Bexar County,32.813578630311696,Policy
18027,2010,Texas,106.0,1714773,Bexar County,6.1815762202927145,Policy
18028,2008,Texas,106.0,10061,Bexar County,1053.5732034589007,Policy
18029,2004,Texas,106.0,17871,Bexar County,593.1397235745062,Policy
18030,2002,Texas,106.0,88813,Bexar County,119.35189668179208,Policy
18031,2000,Texas,106.0,241767,Bexar County,43.843866201756235,Policy
18032,2020,Texas,42.0,23861,Bexar County,176.01944595783914,Policy
18033,2018,Texas,42.0,86976,Bexar County,48.28918322295806,Policy
18034,2016,Texas,42.0,3697,Bexar County,1136.0562618339193,Policy
18035,2014,Texas,42.0,32863,Bexar County,127.80330462830538,Policy
18036,2012,Texas,42.0,323037,Bexar County,13.001606627104634,Policy
18037,2010,Texas,42.0,1714773,Bexar County,2.4493037853990005,Policy
18038,2008,Texas,42.0,10061,Bexar County,417.4535334459795,Policy
18039,2004,Texas,42.0,17871,Bexar County,235.01762632197415,Policy
18040,2002,Texas,42.0,88813,Bexar County,47.29037415693648,Policy
18041,2000,Texas,42.0,241767,Bexar County,17.372097928997754,Policy
18042,2019,Texas,11.0,88723,Bell County,12.398138025089322,Policy
18043,2017,Texas,11.0,3581,Bell County,307.17676626640605,Policy
18044,2015,Texas,11.0,32874,Bell County,33.4610938735779,Policy
18045,2013,Texas,11.0,326843,Bell County,3.3655302392891997,Policy
18046,2011,Texas,11.0,1756153,Bell County,0.6263691147639187,Policy
18047,2009,Texas,11.0,10315,Bell County,106.64081434803684,Policy
18048,2005,Texas,11.0,17990,Bell County,61.14508060033352,Policy
18049,2003,Texas,11.0,88839,Bell County,12.381949369083399,Policy
18050,2001,Texas,11.0,248280,Bell County,4.430481714193652,Policy
18051,1999,Texas,11.0,150211,Bell County,7.323032267943093,Policy
18052,2019,Texas,11.0,88723,Bexar County,12.398138025089322,Policy
18053,2017,Texas,11.0,3581,Bexar County,307.17676626640605,Policy
18054,2015,Texas,11.0,32874,Bexar County,33.4610938735779,Policy
18055,2013,Texas,11.0,326843,Bexar County,3.3655302392891997,Policy
18056,2011,Texas,11.0,1756153,Bexar County,0.6263691147639187,Policy
18057,2009,Texas,11.0,10315,Bexar County,106.64081434803684,Policy
18058,2005,Texas,11.0,17990,Bexar County,61.14508060033352,Policy
18059,2003,Texas,11.0,88839,Bexar County,12.381949369083399,Policy
18060,2001,Texas,11.0,248280,Bexar County,4.430481714193652,Policy
18061,1999,Texas,11.0,150211,Bexar County,7.323032267943093,Policy
18062,2019,Texas,160.0,88723,Bexar County,180.33655309220833,Policy
18063,2017,Texas,160.0,3581,Bexar County,4468.0256911477245,Policy
18064,2015,Texas,160.0,32874,Bexar County,486.70681997931496,Policy
18065,2013,Texas,160.0,326843,Bexar County,48.95316711693382,Policy
18066,2011,Texas,160.0,1756153,Bexar County,9.11082348747518,Policy
