,Year_y,State_y,Deaths,Population_y,County Name,Death Rate,Policy or Control
21486,2019,Washington,28.0,19983,Clark County,140.11910123605065,Policy
21487,2017,Washington,28.0,22535,Clark County,124.2511648546705,Policy
21488,2015,Washington,28.0,190309,Clark County,14.712914260492147,Policy
21489,2013,Washington,28.0,73967,Clark County,37.85471899630917,Policy
21490,2011,Washington,28.0,71838,Clark County,38.97658620785657,Policy
21491,2009,Washington,28.0,421236,Clark County,6.647105185691631,Policy
21492,2007,Washington,28.0,3897,Clark County,718.5014113420581,Policy
21493,2005,Washington,28.0,96536,Clark County,29.004723626419157,Policy
21494,2003,Washington,28.0,33481,Clark County,83.62952122099101,Policy
21495,2001,Washington,28.0,7285,Clark County,384.3514070006863,Policy
21496,1999,Washington,28.0,48396,Clark County,57.85602115877345,Policy
21497,2019,Washington,12.0,19983,Clark County,60.05104338687885,Policy
21498,2017,Washington,12.0,22535,Clark County,53.25049922343022,Policy
21499,2015,Washington,12.0,190309,Clark County,6.305534683068063,Policy
21500,2013,Washington,12.0,73967,Clark County,16.223450998418215,Policy
21501,2011,Washington,12.0,71838,Clark County,16.704251231938528,Policy
21502,2009,Washington,12.0,421236,Clark County,2.8487593652964134,Policy
21503,2007,Washington,12.0,3897,Clark County,307.9291762894534,Policy
21504,2005,Washington,12.0,96536,Clark County,12.430595839893927,Policy
21505,2003,Washington,12.0,33481,Clark County,35.841223380424715,Policy
21506,2001,Washington,12.0,7285,Clark County,164.7220315717227,Policy
21507,1999,Washington,12.0,48396,Clark County,24.795437639474336,Policy
21508,2020,Washington,15.0,20027,Clark County,74.89888650322065,Policy
21509,2018,Washington,15.0,22610,Clark County,66.34232640424591,Policy
21510,2016,Washington,15.0,193686,Clark County,7.744493665004182,Policy
21511,2014,Washington,15.0,74588,Clark County,20.110473534616826,Policy
21512,2012,Washington,15.0,71863,Clark County,20.873050109235628,Policy
21513,2010,Washington,15.0,425363,Clark County,3.5263998044023577,Policy
21514,2008,Washington,15.0,3903,Clark County,384.3197540353574,Policy
21515,2006,Washington,15.0,99162,Clark County,15.126762267804198,Policy
21516,2004,Washington,15.0,34086,Clark County,44.0063369125154,Policy
21517,2002,Washington,15.0,7280,Clark County,206.04395604395606,Policy
21518,2000,Washington,15.0,49347,Clark County,30.39698461912578,Policy
21519,2020,Washington,14.0,20027,Clark County,69.90562740300594,Policy
21520,2018,Washington,14.0,22610,Clark County,61.91950464396285,Policy
21521,2016,Washington,14.0,193686,Clark County,7.228194087337237,Policy
21522,2014,Washington,14.0,74588,Clark County,18.769775298975706,Policy
