Year,State,BUYER_STATE,BUYER_COUNTY,Population,T_YEAR,MME
2007,California,CA,ALAMEDA,1455715,2007,507600.8172126375
2007,California,CA,AMADOR,38756,2007,22155.1082081625
2007,California,CA,BUTTE,217469,2007,167352.3430892375
2007,California,CA,CALAVERAS,46268,2007,23121.433695
2007,California,CA,COLUSA,21075,2007,5569.7188095375
2007,California,CA,CONTRA COSTA,1009152,2007,233141.543279025
2007,California,CA,DEL NORTE,28415,2007,15646.767105
2007,California,CA,EL DORADO,177694,2007,66500.7011522875
2007,California,CA,FRESNO,895933,2007,238893.4824712625
2007,California,CA,GLENN,27775,2007,11539.2100175
2007,California,CA,HUMBOLDT,132001,2007,91875.7400846625
2007,California,CA,IMPERIAL,164596,2007,21450.635066025
2007,California,CA,INYO,18426,2007,6301.3151499
2007,California,CA,KERN,803281,2007,173974.9710867125
2007,California,CA,KINGS,150420,2007,25679.713176225
2007,California,CA,LAKE,64077,2007,55665.4419533625
2007,California,CA,LASSEN,35615,2007,20989.88849175
2007,California,CA,LOS ANGELES,9700359,2007,1518851.9732678875
2007,California,CA,MADERA,146067,2007,32225.29004745
2007,California,CA,MARIN,246248,2007,79848.24937226251
2007,California,CA,MARIPOSA,18366,2007,2818.86554045
2007,California,CA,MENDOCINO,87071,2007,56757.5848103625
2007,California,CA,MERCED,248540,2007,52572.0089504875
2007,California,CA,MODOC,9525,2007,4732.233698175
2007,California,CA,MONO,13678,2007,1047.1821285
2007,California,CA,MONTEREY,402376,2007,101668.510261
2007,California,CA,NAPA,132583,2007,33857.9618167
2007,California,CA,NEVADA,97794,2007,52070.894492
2007,California,CA,ORANGE,2931629,2007,554743.564633275
2007,California,CA,PLACER,329023,2007,158725.5347064125
2007,California,CA,PLUMAS,20667,2007,11542.8786285
2007,California,CA,RIVERSIDE,2075183,2007,366521.429706775
2007,California,CA,SACRAMENTO,1381161,2007,463911.48147945
2007,California,CA,SAN BENITO,54072,2007,10840.6268205
2007,California,CA,SAN BERNARDINO,1992161,2007,371301.684328175
2007,California,CA,SAN DIEGO,2975742,2007,668773.9819617625
2007,California,CA,SAN FRANCISCO,778673,2007,213326.540178225
2007,California,CA,SAN JOAQUIN,668080,2007,161330.1003188
2007,California,CA,SAN LUIS OBISPO,262770,2007,97483.957575125
2007,California,CA,SAN MATEO,693849,2007,105390.601999
2007,California,CA,SANTA BARBARA,411243,2007,121124.2578665
2007,California,CA,SANTA CLARA,1712026,2007,191762.6100625
2007,California,CA,SANTA CRUZ,253304,2007,68332.299410575
2007,California,CA,SHASTA,176548,2007,124546.131466875
2007,California,CA,SIERRA,3373,2007,484.273215
2007,California,CA,SISKIYOU,44465,2007,22819.1186188625
2007,California,CA,SOLANO,408243,2007,97144.7122248
2007,California,CA,SONOMA,467356,2007,163992.06411455
2007,California,CA,STANISLAUS,507834,2007,265184.4973937625
2007,California,CA,SUTTER,92959,2007,59789.010063675
2007,California,CA,TEHAMA,62147,2007,31972.9268739
2007,California,CA,TRINITY,13648,2007,6740.550372
2007,California,CA,TULARE,422140,2007,102336.616829525
2007,California,CA,TUOLUMNE,56339,2007,44675.7277043
2007,California,CA,VENTURA,800027,2007,159198.3760233125
2007,California,CA,YOLO,194339,2007,41027.5942523
2007,California,CA,YUBA,70761,2007,29959.895658675
2007,Nevada,NV,CHURCHILL,24961,2007,8532.263536312501
2007,Nevada,NV,CLARK,1867817,2007,1031420.19796695
2007,Nevada,NV,DOUGLAS,47166,2007,19273.761769725
2007,Nevada,NV,ELKO,47423,2007,10560.118109725
2007,Nevada,NV,EUREKA,1683,2007,0.45405
2007,Nevada,NV,HUMBOLDT,15658,2007,3260.8959525
2007,Nevada,NV,LANDER,5439,2007,1580.8162990875
2007,Nevada,NV,LINCOLN,4859,2007,1359.1005
2007,Nevada,NV,LYON,51725,2007,12281.32232865
2007,Nevada,NV,MINERAL,4880,2007,1419.4746
2007,Nevada,NV,NYE,44279,2007,36947.9515834875
2007,Nevada,NV,PERSHING,6715,2007,0.0
2007,Nevada,NV,WASHOE,408724,2007,120740.9613336
