Year,State,BUYER_STATE,BUYER_COUNTY,Population,T_YEAR,MME
2007,California,CA,ALAMEDA,1455715,2007,507600817.2126375
2007,California,CA,AMADOR,38756,2007,22155108.2081625
2007,California,CA,BUTTE,217469,2007,167352343.0892375
2007,California,CA,CALAVERAS,46268,2007,23121433.695
2007,California,CA,COLUSA,21075,2007,5569718.8095375
2007,California,CA,CONTRA COSTA,1009152,2007,233141543.27902505
2007,California,CA,DEL NORTE,28415,2007,15646767.105
2007,California,CA,EL DORADO,177694,2007,66500701.1522875
2007,California,CA,FRESNO,895933,2007,238893482.4712625
2007,California,CA,GLENN,27775,2007,11539210.0175
2007,California,CA,HUMBOLDT,132001,2007,91875740.0846625
2007,California,CA,IMPERIAL,164596,2007,21450635.066025
2007,California,CA,INYO,18426,2007,6301315.149900001
2007,California,CA,KERN,803281,2007,173974971.0867125
2007,California,CA,KINGS,150420,2007,25679713.176225
2007,California,CA,LAKE,64077,2007,55665441.9533625
2007,California,CA,LASSEN,35615,2007,20989888.49175
2007,California,CA,LOS ANGELES,9700359,2007,1518851973.2678876
2007,California,CA,MADERA,146067,2007,32225290.04745
2007,California,CA,MARIN,246248,2007,79848249.37226251
2007,California,CA,MARIPOSA,18366,2007,2818865.54045
2007,California,CA,MENDOCINO,87071,2007,56757584.8103625
2007,California,CA,MERCED,248540,2007,52572008.9504875
2007,California,CA,MODOC,9525,2007,4732233.698175
2007,California,CA,MONO,13678,2007,1047182.1285
2007,California,CA,MONTEREY,402376,2007,101668510.261
2007,California,CA,NAPA,132583,2007,33857961.816700004
2007,California,CA,NEVADA,97794,2007,52070894.492
2007,California,CA,ORANGE,2931629,2007,554743564.633275
2007,California,CA,PLACER,329023,2007,158725534.7064125
2007,California,CA,PLUMAS,20667,2007,11542878.6285
2007,California,CA,RIVERSIDE,2075183,2007,366521429.706775
2007,California,CA,SACRAMENTO,1381161,2007,463911481.47945
2007,California,CA,SAN BENITO,54072,2007,10840626.8205
2007,California,CA,SAN BERNARDINO,1992161,2007,371301684.328175
2007,California,CA,SAN DIEGO,2975742,2007,668773981.9617625
2007,California,CA,SAN FRANCISCO,778673,2007,213326540.178225
2007,California,CA,SAN JOAQUIN,668080,2007,161330100.3188
2007,California,CA,SAN LUIS OBISPO,262770,2007,97483957.575125
2007,California,CA,SAN MATEO,693849,2007,105390601.999
2007,California,CA,SANTA BARBARA,411243,2007,121124257.8665
2007,California,CA,SANTA CLARA,1712026,2007,191762610.0625
2007,California,CA,SANTA CRUZ,253304,2007,68332299.410575
2007,California,CA,SHASTA,176548,2007,124546131.466875
2007,California,CA,SIERRA,3373,2007,484273.215
2007,California,CA,SISKIYOU,44465,2007,22819118.618862502
2007,California,CA,SOLANO,408243,2007,97144712.2248
2007,California,CA,SONOMA,467356,2007,163992064.11455
2007,California,CA,STANISLAUS,507834,2007,265184497.3937625
2007,California,CA,SUTTER,92959,2007,59789010.063675
2007,California,CA,TEHAMA,62147,2007,31972926.8739
2007,California,CA,TRINITY,13648,2007,6740550.372
2007,California,CA,TULARE,422140,2007,102336616.829525
2007,California,CA,TUOLUMNE,56339,2007,44675727.7043
2007,California,CA,VENTURA,800027,2007,159198376.0233125
2007,California,CA,YOLO,194339,2007,41027594.2523
2007,California,CA,YUBA,70761,2007,29959895.658675
2007,Nevada,NV,CHURCHILL,24961,2007,8532263.5363125
2007,Nevada,NV,CLARK,1867817,2007,1031420197.96695
2007,Nevada,NV,DOUGLAS,47166,2007,19273761.769725
2007,Nevada,NV,ELKO,47423,2007,10560118.109725
2007,Nevada,NV,EUREKA,1683,2007,454.05
2007,Nevada,NV,HUMBOLDT,15658,2007,3260895.9525
2007,Nevada,NV,LANDER,5439,2007,1580816.2990875
2007,Nevada,NV,LINCOLN,4859,2007,1359100.5
2007,Nevada,NV,LYON,51725,2007,12281322.32865
2007,Nevada,NV,MINERAL,4880,2007,1419474.6
2007,Nevada,NV,NYE,44279,2007,36947951.5834875
2007,Nevada,NV,PERSHING,6715,2007,0.0
2007,Nevada,NV,WASHOE,408724,2007,120740961.3336
