Year,State,BUYER_STATE,BUYER_COUNTY,Population,T_YEAR,MME
2007,Florida,FL,ALACHUA,242685,2007,95259.6279767875
2007,Florida,FL,BAKER,26212,2007,13793.788183225
2007,Florida,FL,BAY,165345,2007,61255.8579992625
2007,Florida,FL,BRADFORD,28825,2007,15854.865475125
2007,Florida,FL,BREVARD,539719,2007,246505.6839382375
2007,Florida,FL,BROWARD,1720825,2007,1720337.4817214876
2007,Florida,FL,CALHOUN,14222,2007,2021.5322535
2007,Florida,FL,CHARLOTTE,159742,2007,103366.6668672
2007,Florida,FL,CITRUS,140974,2007,58420.5095731125
2007,Florida,FL,CLAY,184256,2007,85815.940694825
2007,Florida,FL,COLLIER,314437,2007,129910.312756925
2007,Florida,FL,COLUMBIA,66604,2007,30011.4361680125
2007,Florida,FL,DESOTO,34537,2007,0.0
2007,Florida,FL,DIXIE,16083,2007,3098.6997413625
2007,Florida,FL,DUVAL,851033,2007,344954.3654414875
2007,Florida,FL,ESCAMBIA,297393,2007,113832.9212025275
2007,Florida,FL,FLAGLER,90516,2007,24313.0875877625
2007,Florida,FL,FRANKLIN,11491,2007,2099.0765175
2007,Florida,FL,GADSDEN,45867,2007,7138.5114675
2007,Florida,FL,GILCHRIST,16610,2007,4195.9562895
2007,Florida,FL,GLADES,12357,2007,0.0
2007,Florida,FL,GULF,15908,2007,3813.947766
2007,Florida,FL,HAMILTON,14589,2007,2249.3530935
2007,Florida,FL,HARDEE,27489,2007,3996.1595725
2007,Florida,FL,HENDRY,39006,2007,19191.3290120875
2007,Florida,FL,HERNANDO,169891,2007,111241.430896115
2007,Florida,FL,HIGHLANDS,99023,2007,24466.18728794
2007,Florida,FL,HILLSBOROUGH,1184686,2007,1189548.9667853
2007,Florida,FL,HOLMES,19991,2007,5388.630639225
2007,Florida,FL,INDIAN RIVER,134564,2007,51702.1387888875
2007,Florida,FL,JACKSON,48368,2007,11355.7345475
2007,Florida,FL,JEFFERSON,14383,2007,1732.034337
2007,Florida,FL,LAFAYETTE,8398,2007,1355.7724875
2007,Florida,FL,LAKE,289909,2007,82180.027331575
2007,Florida,FL,LEE,604716,2007,295673.2635694625
2007,Florida,FL,LEON,268519,2007,47083.4008203125
2007,Florida,FL,LEVY,40204,2007,22313.800503725
2007,Florida,FL,LIBERTY,8113,2007,738.3230205
2007,Florida,FL,MADISON,19322,2007,2632.527374225
2007,Florida,FL,MANATEE,316410,2007,172443.21415869
2007,Florida,FL,MARION,325634,2007,140167.1083894625
2007,Florida,FL,MARTIN,143542,2007,77097.86936731251
2007,Florida,FL,MIAMI-DADE,2415576,2007,373495.88119885
2007,Florida,FL,MONROE,72906,2007,46281.924684225
2007,Florida,FL,NASSAU,69969,2007,30364.848846725
2007,Florida,FL,OKALOOSA,182677,2007,51948.6869043375
2007,Florida,FL,OKEECHOBEE,39840,2007,24923.1101409
2007,Florida,FL,ORANGE,1100663,2007,305170.616443275
2007,Florida,FL,OSCEOLA,253722,2007,64095.2323279875
2007,Florida,FL,PALM BEACH,1286586,2007,924515.014484675
2007,Florida,FL,PASCO,453579,2007,356094.00887001253
2007,Florida,FL,PINELLAS,918624,2007,636336.297667465
2007,Florida,FL,POLK,585982,2007,170075.5240326875
2007,Florida,FL,PUTNAM,75107,2007,39640.1805800125
2007,Florida,FL,SANTA ROSA,146158,2007,51318.02323173
2007,Florida,FL,SARASOTA,375325,2007,242670.38616229
2007,Florida,FL,SEMINOLE,413571,2007,185430.9886242125
2007,Florida,FL,SUMTER,82101,2007,16784.182853000002
2007,Florida,FL,SUWANNEE,40309,2007,11324.52801785
2007,Florida,FL,TAYLOR,21805,2007,6762.1375413625
2007,Florida,FL,UNION,15419,2007,2777.3403794
2007,Florida,FL,VOLUSIA,498935,2007,195477.55301975
2007,Florida,FL,WAKULLA,28588,2007,7575.9038735
2007,Florida,FL,WALTON,52355,2007,24799.001058965
2007,Florida,FL,WASHINGTON,23469,2007,9660.0231783
2008,Florida,FL,ALACHUA,244888,2008,114675.2219217625
2008,Florida,FL,BAKER,26725,2008,15651.322154225
2008,Florida,FL,BAY,166267,2008,65665.0129212625
2008,Florida,FL,BRADFORD,28961,2008,17501.0636835
2008,Florida,FL,BREVARD,542378,2008,317947.5992637875
2008,Florida,FL,BROWARD,1723633,2008,2180537.4886392625
2008,Florida,FL,CALHOUN,14351,2008,2225.15655
2008,Florida,FL,CHARLOTTE,160467,2008,142308.398400525
2008,Florida,FL,CITRUS,142122,2008,71761.4176846625
2008,Florida,FL,CLAY,187289,2008,98532.92591601252
2008,Florida,FL,COLLIER,316641,2008,147472.347386
2008,Florida,FL,COLUMBIA,67318,2008,37731.0171378125
2008,Florida,FL,DESOTO,34374,2008,0.0
2008,Florida,FL,DIXIE,16214,2008,3247.389765
2008,Florida,FL,DUVAL,855437,2008,408809.2550861
2008,Florida,FL,ESCAMBIA,296854,2008,116136.8439933875
2008,Florida,FL,FLAGLER,93546,2008,30727.47041245
2008,Florida,FL,FRANKLIN,11484,2008,2152.9779473625
2008,Florida,FL,GADSDEN,46319,2008,6724.8206235
