Year,State,BUYER_STATE,BUYER_COUNTY,Population,T_YEAR,MME
2009,Hawaii,HI,HAWAII,183629,2009,70120.2499514625
2009,Hawaii,HI,HONOLULU,943177,2009,142647.3888393375
2009,Hawaii,HI,KAUAI,66518,2009,44348.05801155
2009,Hawaii,HI,MAUI,153300,2009,93640.833898125
2009,Iowa,IA,ADAIR,7676,2009,1373.0400799875
2009,Iowa,IA,ADAMS,4047,2009,1057.1320125
2009,Iowa,IA,ALLAMAKEE,14263,2009,1220.9791875
2009,Iowa,IA,APPANOOSE,12896,2009,2973.5480663625
2009,Iowa,IA,AUDUBON,6136,2009,572.499
2009,Iowa,IA,BENTON,26117,2009,2031.9235163625
2009,Iowa,IA,BLACK HAWK,130595,2009,20735.8664331
2009,Iowa,IA,BOONE,26360,2009,6138.2777702250005
2009,Iowa,IA,BREMER,24183,2009,4161.07593
2009,Iowa,IA,BUCHANAN,21016,2009,1278.1636875
2009,Iowa,IA,BUENA VISTA,20004,2009,1394.3415038625
2009,Iowa,IA,BUTLER,14699,2009,848.6076061125
2009,Iowa,IA,CALHOUN,9684,2009,849.2390625
2009,Iowa,IA,CARROLL,20743,2009,3784.235679075
2009,Iowa,IA,CASS,13949,2009,2270.4935193
2009,Iowa,IA,CEDAR,18458,2009,791.817975
2009,Iowa,IA,CERRO GORDO,44239,2009,12740.1796875
2009,Iowa,IA,CHEROKEE,11953,2009,1343.0311125
2009,Iowa,IA,CHICKASAW,12465,2009,637.0164375
2009,Iowa,IA,CLARKE,9228,2009,3017.326525425
2009,Iowa,IA,CLAY,16708,2009,2535.8968125
2009,Iowa,IA,CLAYTON,18185,2009,1124.210175
2009,Iowa,IA,CLINTON,49147,2009,9117.46491
2009,Iowa,IA,CRAWFORD,16944,2009,1838.915475
2009,Iowa,IA,DALLAS,64489,2009,6924.9371663625
2009,Iowa,IA,DAVIS,8701,2009,594.65901
2009,Iowa,IA,DECATUR,8506,2009,1059.26235
2009,Iowa,IA,DELAWARE,17755,2009,1043.8747538625
2009,Iowa,IA,DES MOINES,40379,2009,9605.3075513625
