Year,State,BUYER_STATE,BUYER_COUNTY,Population,T_YEAR,MME
2009,Washington,WA,ADAMS,18405,2009,3836.77395
2009,Washington,WA,ASOTIN,21415,2009,9136.063605
2009,Washington,WA,BENTON,171122,2009,56739.0194124
2009,Washington,WA,CHELAN,71679,2009,24818.1394659
2009,Washington,WA,CLALLAM,71077,2009,52228.389902250005
2009,Washington,WA,CLARK,421236,2009,196003.6589167875
2009,Washington,WA,COLUMBIA,3977,2009,761.058525
2009,Washington,WA,COWLITZ,102126,2009,65412.242843625005
2009,Washington,WA,DOUGLAS,37935,2009,9158.1756436125
2009,Washington,WA,FERRY,7538,2009,2213.0829413625
2009,Washington,WA,FRANKLIN,74478,2009,14234.2965
2009,Washington,WA,GARFIELD,2237,2009,826.4590499999999
2009,Washington,WA,GRANT,87340,2009,41785.21092795
2009,Washington,WA,GRAYS HARBOR,72468,2009,37392.3793699875
2009,Washington,WA,ISLAND,78248,2009,16537.3557938625
2009,Washington,WA,JEFFERSON,29714,2009,6154.80975
2009,Washington,WA,KING,1912012,2009,627939.3819220125
2009,Washington,WA,KITSAP,248800,2009,81171.55532655
2009,Washington,WA,KITTITAS,40466,2009,9828.3290213625
2009,Washington,WA,KLICKITAT,20164,2009,2843.889525
2009,Washington,WA,LEWIS,75316,2009,45848.9537512875
2009,Washington,WA,LINCOLN,10570,2009,4805.9081625
2009,Washington,WA,MASON,60333,2009,19808.0557390875
2009,Washington,WA,OKANOGAN,40699,2009,21779.9711184
2009,Washington,WA,PACIFIC,21026,2009,16600.3609088625
2009,Washington,WA,PEND OREILLE,13043,2009,9801.2187375
2009,Washington,WA,PIERCE,796483,2009,274530.8588062875
2009,Washington,WA,SAN JUAN,15714,2009,4387.5429
2009,Washington,WA,SKAGIT,116557,2009,45629.59720815
2009,Washington,WA,SKAMANIA,10955,2009,2969.8807500000003
2009,Washington,WA,SNOHOMISH,706302,2009,337409.12705385
2009,Washington,WA,SPOKANE,468235,2009,208973.5043287875
2009,Washington,WA,STEVENS,43548,2009,24517.5210952125
2009,Washington,WA,THURSTON,249936,2009,69016.6478158875
2009,Washington,WA,WAHKIAKUM,3995,2009,890.021760675
2009,Washington,WA,WALLA WALLA,58103,2009,18084.6905665875
2009,Washington,WA,WHATCOM,199865,2009,50728.8042745125
2009,Washington,WA,WHITMAN,44705,2009,8068.959345225
2009,Washington,WA,YAKIMA,239604,2009,61959.784165125
2010,Washington,WA,ADAMS,18728,2010,4258.3290375
2010,Washington,WA,ASOTIN,21623,2010,13635.5554838625
2010,Washington,WA,BENTON,175177,2010,63982.021538625
2010,Washington,WA,CHELAN,72453,2010,24501.4952245125
2010,Washington,WA,CLALLAM,71404,2010,56952.4858022625
2010,Washington,WA,CLARK,425363,2010,178062.05986653751
2010,Washington,WA,COLUMBIA,4078,2010,1049.822025
2010,Washington,WA,COWLITZ,102410,2010,64568.9998770375
2010,Washington,WA,DOUGLAS,38431,2010,9788.4966811125
2010,Washington,WA,FERRY,7551,2010,2345.33835
2010,Washington,WA,FRANKLIN,78163,2010,14792.459865
2010,Washington,WA,GARFIELD,2266,2010,786.099825
2010,Washington,WA,GRANT,89120,2010,38636.8864463625
2010,Washington,WA,GRAYS HARBOR,72797,2010,36139.545832725
2010,Washington,WA,ISLAND,78506,2010,17639.589165
2010,Washington,WA,JEFFERSON,29872,2010,6794.23248
2010,Washington,WA,KING,1931249,2010,646956.4496017125
2010,Washington,WA,KITSAP,251133,2010,88670.3004604125
2010,Washington,WA,KITTITAS,40915,2010,10529.1542475
2010,Washington,WA,KLICKITAT,20318,2010,2624.77395
2010,Washington,WA,LEWIS,75455,2010,42866.02218225
2010,Washington,WA,LINCOLN,10570,2010,4818.0795
2010,Washington,WA,MASON,60699,2010,22558.2352388625
2010,Washington,WA,OKANOGAN,41120,2010,24892.7318518125
2010,Washington,WA,PACIFIC,20920,2010,17796.522787500002
2010,Washington,WA,PEND OREILLE,13001,2010,9262.6088625
2010,Washington,WA,PIERCE,795225,2010,277785.7259746875
2010,Washington,WA,SAN JUAN,15769,2010,4731.1055588625
2010,Washington,WA,SKAGIT,116901,2010,45562.17251295
2010,Washington,WA,SKAMANIA,11066,2010,2999.4331125
2010,Washington,WA,SNOHOMISH,713335,2010,346468.845571425
2010,Washington,WA,SPOKANE,471221,2010,210604.000417875
2010,Washington,WA,STEVENS,43531,2010,24319.3270923375
2010,Washington,WA,THURSTON,252264,2010,73980.1666434
2010,Washington,WA,WAHKIAKUM,3978,2010,810.019425
2010,Washington,WA,WALLA WALLA,58781,2010,19730.4672225
2010,Washington,WA,WHATCOM,201140,2010,50394.4805756625
2010,Washington,WA,WHITMAN,44776,2010,8059.799460225
2010,Washington,WA,YAKIMA,243231,2010,67468.8692154375
2011,Washington,WA,ADAMS,19027,2011,4655.4991875
2011,Washington,WA,ASOTIN,21933,2011,15274.97271
2011,Washington,WA,BENTON,180678,2011,69095.6007727125
2011,Washington,WA,CHELAN,73477,2011,23054.522497725
2011,Washington,WA,CLALLAM,71838,2011,55333.86181725
2011,Washington,WA,CLARK,433418,2011,167983.9653093375
2011,Washington,WA,COLUMBIA,4050,2011,1175.5825875
2011,Washington,WA,COWLITZ,102478,2011,61017.2657981625
2011,Washington,WA,DOUGLAS,38971,2011,9181.113766575
2011,Washington,WA,FERRY,7689,2011,2603.529975
2011,Washington,WA,FRANKLIN,83455,2011,16504.5268838625
2011,Washington,WA,GARFIELD,2262,2011,880.984125
2011,Washington,WA,GRANT,91265,2011,38408.36012272501
2011,Washington,WA,GRAYS HARBOR,72546,2011,37477.0715447625
2011,Washington,WA,ISLAND,78971,2011,17537.6165888625
2011,Washington,WA,JEFFERSON,29924,2011,7374.5908165875
2011,Washington,WA,KING,1969722,2011,640517.6623440376
2011,Washington,WA,KITSAP,254633,2011,88422.142834275
2011,Washington,WA,KITTITAS,41629,2011,11841.1454438625
2011,Washington,WA,KLICKITAT,20697,2011,2797.9731375
2011,Washington,WA,LEWIS,75901,2011,40843.2682918125
2011,Washington,WA,LINCOLN,10476,2011,4413.1502625
2011,Washington,WA,MASON,61019,2011,24603.788362725
2011,Washington,WA,OKANOGAN,41411,2011,21848.150569087506
2011,Washington,WA,PACIFIC,20930,2011,18355.0746713625
2011,Washington,WA,PEND OREILLE,12936,2011,8148.0048375
2011,Washington,WA,PIERCE,807904,2011,271541.9275213125
2011,Washington,WA,SAN JUAN,15844,2011,5255.9098838625005
2011,Washington,WA,SKAGIT,118109,2011,46909.0582463625
2011,Washington,WA,SKAMANIA,11137,2011,2855.337
2011,Washington,WA,SNOHOMISH,722400,2011,328305.6390303375
2011,Washington,WA,SPOKANE,473761,2011,215240.1890265375
2011,Washington,WA,STEVENS,43496,2011,22840.3688833875
2011,Washington,WA,THURSTON,256591,2011,76306.6060284
2011,Washington,WA,WAHKIAKUM,3991,2011,1064.9729625
2011,Washington,WA,WALLA WALLA,59588,2011,20742.1672538625
2011,Washington,WA,WHATCOM,203663,2011,48392.9601892875
2011,Washington,WA,WHITMAN,45077,2011,9406.4853375
2011,Washington,WA,YAKIMA,247141,2011,76007.353779075
2012,Washington,WA,ADAMS,19005,2012,4531.6065975
2012,Washington,WA,ASOTIN,21888,2012,15922.6875225
2012,Washington,WA,BENTON,182398,2012,73905.65759295
2012,Washington,WA,CHELAN,73687,2012,22610.9260093125
2012,Washington,WA,CLALLAM,71863,2012,51905.33563222501
2012,Washington,WA,CLARK,438287,2012,155831.2542635625
2012,Washington,WA,COLUMBIA,3995,2012,1357.9336875
2012,Washington,WA,COWLITZ,101996,2012,60178.879234725
2012,Washington,WA,DOUGLAS,39350,2012,9132.3554775
2012,Washington,WA,FERRY,7705,2012,2851.485
2012,Washington,WA,FRANKLIN,85845,2012,19072.055182725
2012,Washington,WA,GARFIELD,2228,2012,872.5553924999999
2012,Washington,WA,GRANT,91723,2012,36994.9794204375
2012,Washington,WA,GRAYS HARBOR,71692,2012,37741.8914893125
2012,Washington,WA,ISLAND,79177,2012,17654.6806040625
