Year,State,Population,T_YEAR,MME
2009,Hawaii,1346624,8036,350756.530700475
2009,Iowa,3018458,196882,557753.743559325
2009,Kansas,2824797,208936,925779.2621520375
2009,Maine,1329590,32144,613194.165443475
2009,Massachusetts,6517613,28126,2020513.2261401624
2009,Minnesota,5081005,172774,935770.790614725
2009,Montana,979142,102459,340480.225648725
2009,Nebraska,1796267,156702,338005.0361960625
2009,North Dakota,660261,98441,107166.7030566
2009,Oregon,3808600,72324,1735406.9515941
2009,South Dakota,771598,112504,140398.08328106249
2009,Virginia,5450147,184828,1398501.8545279964
2009,Wyoming,559851,46207,149197.9809487875
2010,Hawaii,1360211,8040,391623.110093475
2010,Iowa,3031957,196980,605743.6619317875
2010,Kansas,2845173,209040,999266.5857121125
2010,Maine,1328361,32160,668618.1947446875
2010,Massachusetts,6547629,28140,2097147.1319179875
2010,Minnesota,5103699,172860,1030014.0640159501
2010,Montana,984246,102510,366596.9386827375
2010,Nebraska,1809801,156780,353822.067574425
2010,North Dakota,669235,100500,110235.0744451125
2010,Oregon,3831074,72360,1868128.147442325
2010,South Dakota,778440,112560,147481.1852093625
2010,Virginia,5510513,184920,1557686.3037051961
2010,Wyoming,563626,46230,162836.8415701875
2011,Hawaii,1374720,8044,416974.70886907505
2011,Iowa,3048099,197078,664961.126445075
2011,Kansas,2863293,209144,1097219.6392261125
2011,Maine,1328188,32176,689900.472673125
2011,Massachusetts,6587536,28154,2205117.165158925
2011,Minnesota,5144606,172946,1097802.0860203125
2011,Montana,992169,100550,382157.125773825
2011,Nebraska,1825499,154847,368777.604823125
2011,North Dakota,680568,100550,128806.9687848
2011,Oregon,3871859,72396,1913911.4409079875
2011,South Dakota,788824,114627,158444.911967625
2011,Virginia,5588311,185012,1690528.4433743625
2011,Wyoming,568158,46253,173397.8576689875
2012,Hawaii,1392223,8048,424229.2330046625
2012,Iowa,3060014,197176,687572.78209335
2012,Kansas,2878041,209248,1137784.2693912375
2012,Maine,1329192,32192,670862.8323844125
2012,Massachusetts,6646144,28168,2261496.7119889874
2012,Minnesota,5178820,173032,1142889.32733405
2012,Montana,1001136,104624,403679.223736875
2012,Nebraska,1838336,154924,384044.8931893875
2012,North Dakota,694861,98588,140642.10152925
2012,Oregon,3899353,72432,1897211.8999255877
2012,South Dakota,797885,114684,162614.5840457625
2012,Virginia,5649413,185104,1737568.319024025
2012,Wyoming,576412,46276,200570.6443678875
2013,Hawaii,1403964,8052,403208.140226775
2013,Iowa,3076372,197274,649090.098765525
2013,Kansas,2886106,209352,1106733.296492025
2013,Maine,1328302,32208,617877.4205039626
2013,Massachusetts,6692824,28182,2222244.5787543003
2013,Minnesota,5219840,173118,1122862.2234729375
2013,Montana,1011129,104676,398101.6866877125
2013,Nebraska,1852804,157014,381194.5273755
2013,North Dakota,719884,100650,142779.9584187
2013,Oregon,3930065,72468,1833995.3997897375
2013,South Dakota,808424,112728,166667.2643137875
2013,Virginia,5704362,185196,1666152.0069169875
2013,Wyoming,582658,46299,209148.78694916252
2014,Hawaii,1419472,8056,362678.7850682625
2014,Iowa,3093070,197372,649277.248478625
2014,Kansas,2896147,209456,1104226.820753325
2014,Maine,1330089,32224,593258.3649317625
2014,Massachusetts,6745408,28196,2085419.398799025
2014,Minnesota,5256224,173204,1161049.144870575
2014,Montana,1018735,102714,391594.485687075
2014,Nebraska,1865827,157092,387951.165816
2014,North Dakota,735966,100700,144703.77451845
2014,Oregon,3970239,72504,1788773.3344441499
2014,South Dakota,816583,112784,174275.6280874125
2014,Virginia,5759564,185288,1665140.0236516125
2014,Wyoming,584153,46322,217878.1512051
