,State,State Code,County,County Code,Year,Cause of death,Cause of death Code,Deaths,Population,Crude Rate,State_Code,County Name
167,Arkansas,5.0,"Benton County, AR",5007.0,2008,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,11.0,210807.0,Unreliable,AR,Benton County
168,Arkansas,5.0,"Benton County, AR",5007.0,2009,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,12.0,216620.0,Unreliable,AR,Benton County
169,Arkansas,5.0,"Craighead County, AR",5031.0,2008,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,13.0,93316.0,Unreliable,AR,Craighead County
170,Arkansas,5.0,"Craighead County, AR",5031.0,2009,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,19.0,95482.0,Unreliable,AR,Craighead County
171,Arkansas,5.0,"Garland County, AR",5051.0,2007,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent",Y14,12.0,94753.0,Unreliable,AR,Garland County
172,Arkansas,5.0,"Garland County, AR",5051.0,2009,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent",Y14,11.0,95840.0,Unreliable,AR,Garland County
173,Arkansas,5.0,"Pulaski County, AR",5119.0,2004,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent",Y14,11.0,366608.0,Unreliable,AR,Pulaski County
174,Arkansas,5.0,"Pulaski County, AR",5119.0,2005,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent",Y14,12.0,368274.0,Unreliable,AR,Pulaski County
175,Arkansas,5.0,"Pulaski County, AR",5119.0,2007,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent",Y14,11.0,373403.0,Unreliable,AR,Pulaski County
176,Arkansas,5.0,"Pulaski County, AR",5119.0,2008,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,13.0,376567.0,Unreliable,AR,Pulaski County
177,Arkansas,5.0,"Pulaski County, AR",5119.0,2009,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,21.0,380053.0,5.5255,AR,Pulaski County
178,Arkansas,5.0,"Saline County, AR",5125.0,2006,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent",Y14,10.0,96661.0,Unreliable,AR,Saline County
179,Arkansas,5.0,"Saline County, AR",5125.0,2008,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,10.0,102599.0,Unreliable,AR,Saline County
180,Arkansas,5.0,"Sebastian County, AR",5131.0,2007,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,10.0,122946.0,Unreliable,AR,Sebastian County
181,Arkansas,5.0,"Sebastian County, AR",5131.0,2007,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent",Y14,11.0,122946.0,Unreliable,AR,Sebastian County
182,Arkansas,5.0,"Sebastian County, AR",5131.0,2008,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,12.0,123762.0,Unreliable,AR,Sebastian County
183,Arkansas,5.0,"Sebastian County, AR",5131.0,2009,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,11.0,125116.0,Unreliable,AR,Sebastian County
184,California,6.0,"Alameda County, CA",6001.0,2004,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,32.0,1445721.0,2.2134,CA,Alameda County
185,California,6.0,"Alameda County, CA",6001.0,2004,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,70.0,1445721.0,4.8419,CA,Alameda County
186,California,6.0,"Alameda County, CA",6001.0,2004,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,14.0,1445721.0,Unreliable,CA,Alameda County
187,California,6.0,"Alameda County, CA",6001.0,2005,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,21.0,1441545.0,1.4568,CA,Alameda County
188,California,6.0,"Alameda County, CA",6001.0,2005,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,27.0,1441545.0,1.8730,CA,Alameda County
189,California,6.0,"Alameda County, CA",6001.0,2005,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,84.0,1441545.0,5.8271,CA,Alameda County
190,California,6.0,"Alameda County, CA",6001.0,2005,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,22.0,1441545.0,1.5261,CA,Alameda County
191,California,6.0,"Alameda County, CA",6001.0,2006,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,19.0,1444484.0,Unreliable,CA,Alameda County
192,California,6.0,"Alameda County, CA",6001.0,2006,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,39.0,1444484.0,2.6999,CA,Alameda County
193,California,6.0,"Alameda County, CA",6001.0,2006,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,83.0,1444484.0,5.7460,CA,Alameda County
194,California,6.0,"Alameda County, CA",6001.0,2006,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,11.0,1444484.0,Unreliable,CA,Alameda County
195,California,6.0,"Alameda County, CA",6001.0,2007,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,17.0,1455715.0,Unreliable,CA,Alameda County
196,California,6.0,"Alameda County, CA",6001.0,2007,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,44.0,1455715.0,3.0226,CA,Alameda County
197,California,6.0,"Alameda County, CA",6001.0,2007,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,99.0,1455715.0,6.8008,CA,Alameda County
198,California,6.0,"Alameda County, CA",6001.0,2007,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,18.0,1455715.0,Unreliable,CA,Alameda County
199,California,6.0,"Alameda County, CA",6001.0,2008,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,15.0,1477208.0,Unreliable,CA,Alameda County
200,California,6.0,"Alameda County, CA",6001.0,2008,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,32.0,1477208.0,2.1662,CA,Alameda County
201,California,6.0,"Alameda County, CA",6001.0,2008,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,88.0,1477208.0,5.9572,CA,Alameda County
202,California,6.0,"Alameda County, CA",6001.0,2008,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,18.0,1477208.0,Unreliable,CA,Alameda County
203,California,6.0,"Alameda County, CA",6001.0,2009,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,13.0,1498539.0,Unreliable,CA,Alameda County
204,California,6.0,"Alameda County, CA",6001.0,2009,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,31.0,1498539.0,2.0687,CA,Alameda County
205,California,6.0,"Alameda County, CA",6001.0,2009,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,73.0,1498539.0,4.8714,CA,Alameda County
206,California,6.0,"Alameda County, CA",6001.0,2009,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,21.0,1498539.0,1.4014,CA,Alameda County
207,California,6.0,"Amador County, CA",6005.0,2009,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,10.0,38238.0,Unreliable,CA,Amador County
208,California,6.0,"Butte County, CA",6007.0,2004,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,20.0,213065.0,9.3868,CA,Butte County
