,State,State Code,County,County Code,Year,Cause of death,Cause of death Code,Deaths,Population,Crude Rate,State_Code,County Name
241,Arkansas,5.0,"Benton County, AR",5007.0,2009,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,12.0,216620.0,Unreliable,AR,Benton County
242,Arkansas,5.0,"Benton County, AR",5007.0,2010,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,12.0,221339.0,Unreliable,AR,Benton County
243,Arkansas,5.0,"Benton County, AR",5007.0,2011,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,14.0,227556.0,Unreliable,AR,Benton County
244,Arkansas,5.0,"Benton County, AR",5007.0,2012,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,14.0,232268.0,Unreliable,AR,Benton County
245,Arkansas,5.0,"Benton County, AR",5007.0,2013,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,10.0,237297.0,Unreliable,AR,Benton County
246,Arkansas,5.0,"Benton County, AR",5007.0,2014,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,11.0,242321.0,Unreliable,AR,Benton County
247,Arkansas,5.0,"Craighead County, AR",5031.0,2009,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,19.0,95482.0,Unreliable,AR,Craighead County
248,Arkansas,5.0,"Crawford County, AR",5033.0,2011,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,10.0,61944.0,Unreliable,AR,Crawford County
249,Arkansas,5.0,"Garland County, AR",5051.0,2009,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent",Y14,11.0,95840.0,Unreliable,AR,Garland County
250,Arkansas,5.0,"Garland County, AR",5051.0,2014,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,11.0,97322.0,Unreliable,AR,Garland County
251,Arkansas,5.0,"Pulaski County, AR",5119.0,2009,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,21.0,380053.0,5.5255,AR,Pulaski County
252,Arkansas,5.0,"Pulaski County, AR",5119.0,2010,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,10.0,382748.0,Unreliable,AR,Pulaski County
253,Arkansas,5.0,"Pulaski County, AR",5119.0,2010,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,20.0,382748.0,5.2254,AR,Pulaski County
254,Arkansas,5.0,"Pulaski County, AR",5119.0,2011,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,27.0,386299.0,6.9894,AR,Pulaski County
255,Arkansas,5.0,"Pulaski County, AR",5119.0,2012,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,17.0,388953.0,Unreliable,AR,Pulaski County
256,Arkansas,5.0,"Pulaski County, AR",5119.0,2013,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,26.0,391284.0,6.6448,AR,Pulaski County
257,Arkansas,5.0,"Pulaski County, AR",5119.0,2014,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,22.0,392702.0,5.6022,AR,Pulaski County
258,Arkansas,5.0,"Sebastian County, AR",5131.0,2009,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,11.0,125116.0,Unreliable,AR,Sebastian County
259,Arkansas,5.0,"Sebastian County, AR",5131.0,2011,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,12.0,127127.0,Unreliable,AR,Sebastian County
260,Arkansas,5.0,"Sebastian County, AR",5131.0,2012,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,13.0,127304.0,Unreliable,AR,Sebastian County
261,Arkansas,5.0,"Washington County, AR",5143.0,2014,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,12.0,220792.0,Unreliable,AR,Washington County
262,California,6.0,"Alameda County, CA",6001.0,2009,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,13.0,1498539.0,Unreliable,CA,Alameda County
263,California,6.0,"Alameda County, CA",6001.0,2009,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,31.0,1498539.0,2.0687,CA,Alameda County
264,California,6.0,"Alameda County, CA",6001.0,2009,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,73.0,1498539.0,4.8714,CA,Alameda County
265,California,6.0,"Alameda County, CA",6001.0,2009,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,21.0,1498539.0,1.4014,CA,Alameda County
266,California,6.0,"Alameda County, CA",6001.0,2010,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,15.0,1510271.0,Unreliable,CA,Alameda County
267,California,6.0,"Alameda County, CA",6001.0,2010,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,35.0,1510271.0,2.3175,CA,Alameda County
268,California,6.0,"Alameda County, CA",6001.0,2010,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,53.0,1510271.0,3.5093,CA,Alameda County
269,California,6.0,"Alameda County, CA",6001.0,2010,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,16.0,1510271.0,Unreliable,CA,Alameda County
270,California,6.0,"Alameda County, CA",6001.0,2011,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,18.0,1529875.0,Unreliable,CA,Alameda County
271,California,6.0,"Alameda County, CA",6001.0,2011,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,37.0,1529875.0,2.4185,CA,Alameda County
272,California,6.0,"Alameda County, CA",6001.0,2011,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,83.0,1529875.0,5.4253,CA,Alameda County
273,California,6.0,"Alameda County, CA",6001.0,2011,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,28.0,1529875.0,1.8302,CA,Alameda County
274,California,6.0,"Alameda County, CA",6001.0,2012,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,16.0,1554720.0,Unreliable,CA,Alameda County
275,California,6.0,"Alameda County, CA",6001.0,2012,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,37.0,1554720.0,2.3798,CA,Alameda County
276,California,6.0,"Alameda County, CA",6001.0,2012,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,61.0,1554720.0,3.9235,CA,Alameda County
277,California,6.0,"Alameda County, CA",6001.0,2012,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,15.0,1554720.0,Unreliable,CA,Alameda County
278,California,6.0,"Alameda County, CA",6001.0,2013,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,20.0,1578891.0,1.2667,CA,Alameda County
279,California,6.0,"Alameda County, CA",6001.0,2013,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,35.0,1578891.0,2.2167,CA,Alameda County
280,California,6.0,"Alameda County, CA",6001.0,2013,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,93.0,1578891.0,5.8902,CA,Alameda County
281,California,6.0,"Alameda County, CA",6001.0,2013,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,18.0,1578891.0,Unreliable,CA,Alameda County
282,California,6.0,"Alameda County, CA",6001.0,2014,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,20.0,1610921.0,1.2415,CA,Alameda County
283,California,6.0,"Alameda County, CA",6001.0,2014,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,39.0,1610921.0,2.4210,CA,Alameda County
284,California,6.0,"Alameda County, CA",6001.0,2014,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,82.0,1610921.0,5.0903,CA,Alameda County
285,California,6.0,"Alameda County, CA",6001.0,2014,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,12.0,1610921.0,Unreliable,CA,Alameda County
286,California,6.0,"Amador County, CA",6005.0,2009,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,10.0,38238.0,Unreliable,CA,Amador County
287,California,6.0,"Butte County, CA",6007.0,2009,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,11.0,219777.0,Unreliable,CA,Butte County
288,California,6.0,"Butte County, CA",6007.0,2009,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,36.0,219777.0,16.3802,CA,Butte County
289,California,6.0,"Butte County, CA",6007.0,2010,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,11.0,220000.0,Unreliable,CA,Butte County
290,California,6.0,"Butte County, CA",6007.0,2010,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,12.0,220000.0,Unreliable,CA,Butte County
291,California,6.0,"Butte County, CA",6007.0,2010,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,51.0,220000.0,23.1818,CA,Butte County
292,California,6.0,"Butte County, CA",6007.0,2011,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,19.0,220266.0,Unreliable,CA,Butte County
293,California,6.0,"Butte County, CA",6007.0,2011,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,53.0,220266.0,24.0618,CA,Butte County
294,California,6.0,"Butte County, CA",6007.0,2012,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,15.0,221539.0,Unreliable,CA,Butte County
295,California,6.0,"Butte County, CA",6007.0,2012,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,44.0,221539.0,19.8611,CA,Butte County
296,California,6.0,"Butte County, CA",6007.0,2013,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,37.0,222090.0,16.6599,CA,Butte County
297,California,6.0,"Butte County, CA",6007.0,2014,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,15.0,224241.0,Unreliable,CA,Butte County
298,California,6.0,"Butte County, CA",6007.0,2014,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,15.0,224241.0,Unreliable,CA,Butte County
299,California,6.0,"Butte County, CA",6007.0,2014,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,40.0,224241.0,17.8380,CA,Butte County
300,California,6.0,"Contra Costa County, CA",6013.0,2009,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,21.0,1037890.0,2.0233,CA,Contra Costa County
301,California,6.0,"Contra Costa County, CA",6013.0,2009,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,30.0,1037890.0,2.8905,CA,Contra Costa County
302,California,6.0,"Contra Costa County, CA",6013.0,2009,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,28.0,1037890.0,2.6978,CA,Contra Costa County
303,California,6.0,"Contra Costa County, CA",6013.0,2010,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,17.0,1049025.0,Unreliable,CA,Contra Costa County
304,California,6.0,"Contra Costa County, CA",6013.0,2010,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,27.0,1049025.0,2.5738,CA,Contra Costa County
305,California,6.0,"Contra Costa County, CA",6013.0,2010,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,33.0,1049025.0,3.1458,CA,Contra Costa County
306,California,6.0,"Contra Costa County, CA",6013.0,2010,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,11.0,1049025.0,Unreliable,CA,Contra Costa County
307,California,6.0,"Contra Costa County, CA",6013.0,2011,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,19.0,1066096.0,Unreliable,CA,Contra Costa County
308,California,6.0,"Contra Costa County, CA",6013.0,2011,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,27.0,1066096.0,2.5326,CA,Contra Costa County
309,California,6.0,"Contra Costa County, CA",6013.0,2011,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,47.0,1066096.0,4.4086,CA,Contra Costa County
310,California,6.0,"Contra Costa County, CA",6013.0,2011,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,22.0,1066096.0,2.0636,CA,Contra Costa County
311,California,6.0,"Contra Costa County, CA",6013.0,2012,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,24.0,1079597.0,2.2231,CA,Contra Costa County
312,California,6.0,"Contra Costa County, CA",6013.0,2012,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,35.0,1079597.0,3.2420,CA,Contra Costa County
313,California,6.0,"Contra Costa County, CA",6013.0,2012,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,40.0,1079597.0,3.7051,CA,Contra Costa County
314,California,6.0,"Contra Costa County, CA",6013.0,2012,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,13.0,1079597.0,Unreliable,CA,Contra Costa County
