,Year,State,State Code,County,County Code,Cause of death,Cause of death Code,Deaths,Population,Crude Rate,State_Code,County Name
32,2007,Arkansas,5.0,"Garland County, AR",5051.0,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent",Y14,12.0,94753.0,Unreliable,AR,Garland County
33,2007,Arkansas,5.0,"Pulaski County, AR",5119.0,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent",Y14,11.0,373403.0,Unreliable,AR,Pulaski County
34,2007,Arkansas,5.0,"Sebastian County, AR",5131.0,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,10.0,122946.0,Unreliable,AR,Sebastian County
35,2007,Arkansas,5.0,"Sebastian County, AR",5131.0,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent",Y14,11.0,122946.0,Unreliable,AR,Sebastian County
36,2007,California,6.0,"Alameda County, CA",6001.0,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,17.0,1455715.0,Unreliable,CA,Alameda County
37,2007,California,6.0,"Alameda County, CA",6001.0,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,44.0,1455715.0,3.0,CA,Alameda County
38,2007,California,6.0,"Alameda County, CA",6001.0,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,99.0,1455715.0,6.8,CA,Alameda County
39,2007,California,6.0,"Alameda County, CA",6001.0,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,18.0,1455715.0,Unreliable,CA,Alameda County
40,2007,California,6.0,"Butte County, CA",6007.0,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,18.0,217469.0,Unreliable,CA,Butte County
41,2007,California,6.0,"Butte County, CA",6007.0,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,33.0,217469.0,15.2,CA,Butte County
42,2007,California,6.0,"Contra Costa County, CA",6013.0,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,18.0,1009152.0,Unreliable,CA,Contra Costa County
