,Year,State,State Code,County,County Code,Cause of death,Cause of death Code,Deaths,Population,Crude Rate,County Name,State_Code
32,2007,Arkansas,5.0,"Garland County, AR",5051.0,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent",Y14,12.0,94753.0,Unreliable,Garland County,AR
33,2007,Arkansas,5.0,"Pulaski County, AR",5119.0,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent",Y14,11.0,373403.0,Unreliable,Pulaski County,AR
34,2007,Arkansas,5.0,"Sebastian County, AR",5131.0,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,10.0,122946.0,Unreliable,Sebastian County,AR
35,2007,Arkansas,5.0,"Sebastian County, AR",5131.0,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent",Y14,11.0,122946.0,Unreliable,Sebastian County,AR
36,2007,California,6.0,"Alameda County, CA",6001.0,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,17.0,1455715.0,Unreliable,Alameda County,CA
37,2007,California,6.0,"Alameda County, CA",6001.0,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,44.0,1455715.0,3.0,Alameda County,CA
38,2007,California,6.0,"Alameda County, CA",6001.0,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,99.0,1455715.0,6.8,Alameda County,CA
39,2007,California,6.0,"Alameda County, CA",6001.0,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,18.0,1455715.0,Unreliable,Alameda County,CA
40,2007,California,6.0,"Butte County, CA",6007.0,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,18.0,217469.0,Unreliable,Butte County,CA
41,2007,California,6.0,"Butte County, CA",6007.0,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,33.0,217469.0,15.2,Butte County,CA
42,2007,California,6.0,"Contra Costa County, CA",6013.0,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,18.0,1009152.0,Unreliable,Contra Costa County,CA
43,2007,California,6.0,"Contra Costa County, CA",6013.0,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,34.0,1009152.0,3.4,Contra Costa County,CA
44,2007,California,6.0,"Contra Costa County, CA",6013.0,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,23.0,1009152.0,2.3,Contra Costa County,CA
45,2007,California,6.0,"Contra Costa County, CA",6013.0,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,10.0,1009152.0,Unreliable,Contra Costa County,CA
46,2007,California,6.0,"El Dorado County, CA",6017.0,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,14.0,177694.0,Unreliable,El Dorado County,CA
47,2007,California,6.0,"El Dorado County, CA",6017.0,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,15.0,177694.0,Unreliable,El Dorado County,CA
48,2007,California,6.0,"Fresno County, CA",6019.0,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,16.0,895933.0,Unreliable,Fresno County,CA
49,2007,California,6.0,"Fresno County, CA",6019.0,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,40.0,895933.0,4.5,Fresno County,CA
50,2007,California,6.0,"Fresno County, CA",6019.0,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,14.0,895933.0,Unreliable,Fresno County,CA
51,2007,California,6.0,"Humboldt County, CA",6023.0,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,18.0,132001.0,Unreliable,Humboldt County,CA
52,2007,California,6.0,"Humboldt County, CA",6023.0,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,13.0,132001.0,Unreliable,Humboldt County,CA
53,2007,California,6.0,"Kern County, CA",6029.0,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,29.0,803281.0,3.6,Kern County,CA
54,2007,California,6.0,"Kern County, CA",6029.0,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,39.0,803281.0,4.9,Kern County,CA
55,2007,California,6.0,"Kern County, CA",6029.0,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,39.0,803281.0,4.9,Kern County,CA
56,2007,California,6.0,"Kings County, CA",6031.0,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,11.0,150420.0,Unreliable,Kings County,CA
